customerGroupId,STYLECODE,PRODUCT_NAME,COMPOSITION,FABRIC,SIZE_RANGE,COLOURS_COUNT,SHORT_DESCRIPTION,BOX_QTY,PRICE,BASE_SALE_PRICE,TIER_10_TO_49_PRICE,TIER_50_TO_99_PRICE,TIER_100_PLUS_PRICE,CATEGORY,CATEGORY_SORT,Unnamed: 12,Cost + GST,Times 1.5
3,3032,Kids Supply Hood,80% Cotton  20% Polyester Anti-Pill Fleece,290 GSM,,,Regular Fit - 290 GSM,24,14.75,30.61,27.55,24.49,22.96,KIDS SWEATSHIRTS,22000,,16.225,24.3375
3,3033,Youth Supply Hood,80% Cotton  20% Polyester Anti-Pill Fleece,290 GSM,,,Regular Fit - 290 GSM,24,15.75,32.69,29.42,26.15,24.52,KIDS SWEATSHIRTS,22000,,17.325,25.9875
3,3034,Kids Relax Crew,80% Cotton  20% Polyester Anti-Pill Fleece,320 GSM,,,Relaxed Fit - 320 GSM,36,15.75,32.69,29.42,26.15,24.52,KIDS SWEATSHIRTS,22000,,17.325,25.9875
3,3035,Youth Relax Crew,80% Cotton  20% Polyester Anti-Pill Fleece,320 GSM,,,Relaxed Fit - 320 GSM,24,19.25,39.95,35.96,31.96,29.96,KIDS SWEATSHIRTS,22000,,21.175,31.7625
3,3036,Kids Relax Hood,80% Cotton  20% Polyester Anti-Pill Fleece,320 GSM,,,Relaxed Fit - 320 GSM,24,19.95,41.41,37.27,33.13,31.06,KIDS SWEATSHIRTS,22000,,21.945,32.9175
3,3037,Youth Relax Hood,80% Cotton  20% Polyester Anti-Pill Fleece,320 GSM,,,Relaxed Fit - 320 GSM,18,22.95,47.63,42.87,38.1,35.72,KIDS SWEATSHIRTS,22000,,25.245,37.8675
3,3038,Kids Relax Zip Hood,80% Cotton  20% Recycled Polyester,320 GSM,,,Relaxed Fit - 320 GSM,24,21.95,45.56,41.0,36.45,34.17,KIDS SWEATSHIRTS,22000,,24.145,36.2175
3,3039,Youth Relax Zip Hood,80% Cotton  20% Recycled Polyester,320 GSM,,,Relaxed Fit - 320 GSM,18,24.95,51.78,46.6,41.42,38.84,KIDS SWEATSHIRTS,22000,,27.445,41.1675
3,3060,Kids Classic Tee,100% Combed Cotton (Marles 15% Viscose),220 GSM,,,Regular Fit - 220 GSM,96,6.75,14.01,12.61,11.21,10.51,KIDS T-SHIRTS,20000,,7.425,11.1375
3,3061,Youth Classic Tee,100% Combed Cotton (Marles 15% Viscose),220 GSM,,,Regular Fit - 220 GSM,72,8.75,18.16,16.34,14.53,13.62,KIDS T-SHIRTS,20000,,9.625,14.4375
3,3062,Kids Classic L/S Tee,100% Combed Cotton (Marles 15% Viscose),220 GSM,,,Regular Fit - 220 GSM,66,7.75,16.08,14.47,12.86,12.06,KIDS LONGSLEEVES,21000,,8.525,12.7875
3,3063,Youth Classic L/S Tee,100% Combed Cotton (Marles 15% Viscose),220 GSM,,,Regular Fit - 220 GSM,54,9.75,20.24,18.22,16.19,15.18,KIDS LONGSLEEVES,21000,,10.725,16.0875
