customerGroupId,STYLECODE,PRODUCT_NAME,COMPOSITION,FABRIC,SIZE_RANGE,COLOURS_COUNT,SHORT_DESCRIPTION,BOX_QTY,PRICE,BASE_SALE_PRICE,TIER_10_TO_49_PRICE,TIER_50_TO_99_PRICE,TIER_100_PLUS_PRICE,CATEGORY,CATEGORY_SORT
3,1164,Frame Soft Cap,100% Cotton Twill,,,,High Profile - Curved Peak,72,6.5,16.35,14.72,13.08,12.26,CAPS/HATS,30300
3,1164C,Frame Soft Camo Cap,55% Cotton  45% Polyester,,,,High Profile - Curved Peak,72,6.75,16.98,15.28,13.58,12.74,CAPS/HATS,30300
3,1165,Frame TwoTone Cap,100% Cotton,,,,High Profile - Curved Peak,72,6.75,16.98,15.28,13.58,12.74,CAPS/HATS,30300
3,1170,Kids Bucket Hat,100% Cotton,,,,100% Cotton,48,7.75,19.5,17.55,15.6,14.62,CAPS/HATS,30300
3,1171,Nylon Bucket Hat,100% Recycled Nylon,,,,100% Recycled Nylon,48,8.25,20.75,18.68,16.6,15.56,CAPS/HATS,30300
3,1172,Wide Brim Bucket Hat,100% Cotton,,,,100% cotton,48,8.25,20.75,18.68,16.6,15.56,CAPS/HATS,30300
3,1173,Stock Canvas Cap,100% Cotton Canvas,,,,High Profile - Flat Peak,72,6.75,16.98,15.28,13.58,12.74,CAPS/HATS,30300
3,1174,Nylon Wide Brim Bucket Hat,100% Quick Dry Recycled Nylon,,,,100% Recycled Nylon,48,8.5,21.38,19.24,17.1,16.04,CAPS/HATS,30300
3,1175,Terry Bucket Hat,100% Cotton Terry,,,,100% Cotton Terry,48,7.75,19.5,17.55,15.6,14.62,CAPS/HATS,30300
3,1176,Cord Bucket Hat,100% Cotton,,,,100% Cotton,48,8.25,20.75,18.68,16.6,15.56,CAPS/HATS,30300
3,1178,Wo's Bucket Hat,100% Cotton,,,,100% Cotton,48,7.75,19.5,17.55,15.6,14.62,CAPS/HATS,30300
3,1179,Wo's Brim Bucket Hat,100% Cotton,,,,100% Cotton,48,7.75,19.5,17.55,15.6,14.62,CAPS/HATS,30300
3,1180,Active Finn Cap,100% Recycled Nylon Body  100% Recycled Polyester Mesh,,,,Low Profile - Flat Peak,72,6.95,17.48,15.73,13.98,13.11,CAPS/HATS,30300
3,1181,Faded Bucket Hat,100% Cotton Twill,,,,100% Cotton,48,7.75,19.5,17.55,15.6,14.62,CAPS/HATS,30300
