Product Id,Product Handle,Product Title,Product Subtitle,Product Description,Product Status,Product Thumbnail,Product Weight,Product Length,Product Width,Product Height,Product Origin Country,Product Material,Product Collection Id,Product Type Id,Product Discountable,Product External Id,Product Created At,Product Deleted At,Product Hs Code,Product Image 1,Product Image 2,Product Is Giftcard,Product Mid Code,Product Sales Channel 1,Product Tag 1,Product Tag 2,Product Updated At,Variant Id,Variant Title,Variant Sku,Variant Upc,Variant Ean,Variant Hs Code,Variant Mid Code,Variant Manage Inventory,Variant Allow Backorder,Variant Barcode,Variant Created At,Variant Deleted At,Variant Height,Variant Length,Variant Material,Variant Metadata,Variant Option 1 Name,Variant Option 1 Value,Variant Option 2 Name,Variant Option 2 Value,Variant Origin Country,Variant Price AUD,Variant Product Id,Variant Updated At,Variant Variant Rank,Variant Weight,Variant Width,BASE_SALE_PRICE,TIER_10_TO_49_PRICE,TIER_50_TO_99_PRICE,TIER_100_PLUS_PRICE
,syzmik-unisex-hi-vis-basic-long-sleeve-polo-zh232,Syzmik Unisex Hi Vis Basic Long Sleeve Polo ZH232,,"Sizes: XXS - 5XL, 7XL; Fabric: 100% Polyester, 175 GSM; Features: 144 Filament supreme microfibre polyester, Moisture wicking properties, Highly breathable and quick dry, Chest pocket with pen insert;",published,https://cdn.fashionbizapps.nz/honeybee/images/ZH232_bProduct_Orange_Black_01_Pn0xbKR.jpg,,,,,,"100% Polyester, 175 GSM",,,TRUE,,,,,https://cdn.fashionbizapps.nz/honeybee/images/ZH232_bProduct_Orange_Black_01_Pn0xbKR.jpg,https://cdn.fashionbizapps.nz/honeybee/images/ZH232_bProduct_Orange_Black_02_tlGraAq.jpg,FALSE,,sc_01KP7ZJ51Y7PMZ5NA7NA8BAK5C,basic,,,,4XL / Orange/Black,9.40104E+12,,,,,TRUE,FALSE,9.40104E+12,,,,,,,Size,4XL,Colour,Orange/Black,,20.63,,,2,,,27.51,24.76,22.01,20.63
,syzmik-unisex-hi-vis-basic-long-sleeve-polo-zh232,Syzmik Unisex Hi Vis Basic Long Sleeve Polo ZH232,,"Sizes: XXS - 5XL, 7XL; Fabric: 100% Polyester, 175 GSM; Features: 144 Filament supreme microfibre polyester, Moisture wicking properties, Highly breathable and quick dry, Chest pocket with pen insert;",published,https://cdn.fashionbizapps.nz/honeybee/images/ZH232_bProduct_Orange_Black_01_Pn0xbKR.jpg,,,,,,"100% Polyester, 175 GSM",,,TRUE,,,,,https://cdn.fashionbizapps.nz/honeybee/images/ZH232_bProduct_Orange_Black_01_Pn0xbKR.jpg,https://cdn.fashionbizapps.nz/honeybee/images/ZH232_bProduct_Orange_Black_02_tlGraAq.jpg,FALSE,,sc_01KP7ZJ51Y7PMZ5NA7NA8BAK5C,basic,,,,5XL / Orange/Black,9.40104E+12,,,,,TRUE,FALSE,9.40104E+12,,,,,,,Size,5XL,Colour,Orange/Black,,20.63,,,3,,,27.51,24.76,22.01,20.63
,syzmik-unisex-hi-vis-basic-long-sleeve-polo-zh232,Syzmik Unisex Hi Vis Basic Long Sleeve Polo ZH232,,"Sizes: XXS - 5XL, 7XL; Fabric: 100% Polyester, 175 GSM; Features: 144 Filament supreme microfibre polyester, Moisture wicking properties, Highly breathable and quick dry, Chest pocket with pen insert;",published,https://cdn.fashionbizapps.nz/honeybee/images/ZH232_bProduct_Orange_Black_01_Pn0xbKR.jpg,,,,,,"100% Polyester, 175 GSM",,,TRUE,,,,,https://cdn.fashionbizapps.nz/honeybee/images/ZH232_bProduct_Orange_Black_01_Pn0xbKR.jpg,https://cdn.fashionbizapps.nz/honeybee/images/ZH232_bProduct_Orange_Black_02_tlGraAq.jpg,FALSE,,sc_01KP7ZJ51Y7PMZ5NA7NA8BAK5C,basic,,,,7XL / Orange/Black,9.40104E+12,,,,,TRUE,FALSE,9.40104E+12,,,,,,,Size,7XL,Colour,Orange/Black,,20.63,,,4,,,27.51,24.76,22.01,20.63
,syzmik-unisex-hi-vis-basic-long-sleeve-polo-zh232,Syzmik Unisex Hi Vis Basic Long Sleeve Polo ZH232,,"Sizes: XXS - 5XL, 7XL; Fabric: 100% Polyester, 175 GSM; Features: 144 Filament supreme microfibre polyester, Moisture wicking properties, Highly breathable and quick dry, Chest pocket with pen insert;",published,https://cdn.fashionbizapps.nz/honeybee/images/ZH232_bProduct_Orange_Black_01_Pn0xbKR.jpg,,,,,,"100% Polyester, 175 GSM",,,TRUE,,,,,https://cdn.fashionbizapps.nz/honeybee/images/ZH232_bProduct_Orange_Black_01_Pn0xbKR.jpg,https://cdn.fashionbizapps.nz/honeybee/images/ZH232_bProduct_Orange_Black_02_tlGraAq.jpg,FALSE,,sc_01KP7ZJ51Y7PMZ5NA7NA8BAK5C,basic,,,,L / Orange/Black,9.40104E+12,,,,,TRUE,FALSE,9.40104E+12,,,,,,,Size,L,Colour,Orange/Black,,20.63,,,5,,,27.51,24.76,22.01,20.63
,syzmik-unisex-hi-vis-basic-long-sleeve-polo-zh232,Syzmik Unisex Hi Vis Basic Long Sleeve Polo ZH232,,"Sizes: XXS - 5XL, 7XL; Fabric: 100% Polyester, 175 GSM; Features: 144 Filament supreme microfibre polyester, Moisture wicking properties, Highly breathable and quick dry, Chest pocket with pen insert;",published,https://cdn.fashionbizapps.nz/honeybee/images/ZH232_bProduct_Orange_Black_01_Pn0xbKR.jpg,,,,,,"100% Polyester, 175 GSM",,,TRUE,,,,,https://cdn.fashionbizapps.nz/honeybee/images/ZH232_bProduct_Orange_Black_01_Pn0xbKR.jpg,https://cdn.fashionbizapps.nz/honeybee/images/ZH232_bProduct_Orange_Black_02_tlGraAq.jpg,FALSE,,sc_01KP7ZJ51Y7PMZ5NA7NA8BAK5C,basic,,,,M / Orange/Black,9.40104E+12,,,,,TRUE,FALSE,9.40104E+12,,,,,,,Size,M,Colour,Orange/Black,,20.63,,,6,,,27.51,24.76,22.01,20.63
,syzmik-unisex-hi-vis-basic-long-sleeve-polo-zh232,Syzmik Unisex Hi Vis Basic Long Sleeve Polo ZH232,,"Sizes: XXS - 5XL, 7XL; Fabric: 100% Polyester, 175 GSM; Features: 144 Filament supreme microfibre polyester, Moisture wicking properties, Highly breathable and quick dry, Chest pocket with pen insert;",published,https://cdn.fashionbizapps.nz/honeybee/images/ZH232_bProduct_Orange_Black_01_Pn0xbKR.jpg,,,,,,"100% Polyester, 175 GSM",,,TRUE,,,,,https://cdn.fashionbizapps.nz/honeybee/images/ZH232_bProduct_Orange_Black_01_Pn0xbKR.jpg,https://cdn.fashionbizapps.nz/honeybee/images/ZH232_bProduct_Orange_Black_02_tlGraAq.jpg,FALSE,,sc_01KP7ZJ51Y7PMZ5NA7NA8BAK5C,basic,,,,S / Orange/Black,9.40104E+12,,,,,TRUE,FALSE,9.40104E+12,,,,,,,Size,S,Colour,Orange/Black,,20.63,,,7,,,27.51,24.76,22.01,20.63
,syzmik-unisex-hi-vis-basic-long-sleeve-polo-zh232,Syzmik Unisex Hi Vis Basic Long Sleeve Polo ZH232,,"Sizes: XXS - 5XL, 7XL; Fabric: 100% Polyester, 175 GSM; Features: 144 Filament supreme microfibre polyester, Moisture wicking properties, Highly breathable and quick dry, Chest pocket with pen insert;",published,https://cdn.fashionbizapps.nz/honeybee/images/ZH232_bProduct_Orange_Black_01_Pn0xbKR.jpg,,,,,,"100% Polyester, 175 GSM",,,TRUE,,,,,https://cdn.fashionbizapps.nz/honeybee/images/ZH232_bProduct_Orange_Black_01_Pn0xbKR.jpg,https://cdn.fashionbizapps.nz/honeybee/images/ZH232_bProduct_Orange_Black_02_tlGraAq.jpg,FALSE,,sc_01KP7ZJ51Y7PMZ5NA7NA8BAK5C,basic,,,,XL / Orange/Black,9.40104E+12,,,,,TRUE,FALSE,9.40104E+12,,,,,,,Size,XL,Colour,Orange/Black,,20.63,,,8,,,27.51,24.76,22.01,20.63
,syzmik-unisex-hi-vis-basic-long-sleeve-polo-zh232,Syzmik Unisex Hi Vis Basic Long Sleeve Polo ZH232,,"Sizes: XXS - 5XL, 7XL; Fabric: 100% Polyester, 175 GSM; Features: 144 Filament supreme microfibre polyester, Moisture wicking properties, Highly breathable and quick dry, Chest pocket with pen insert;",published,https://cdn.fashionbizapps.nz/honeybee/images/ZH232_bProduct_Orange_Black_01_Pn0xbKR.jpg,,,,,,"100% Polyester, 175 GSM",,,TRUE,,,,,https://cdn.fashionbizapps.nz/honeybee/images/ZH232_bProduct_Orange_Black_01_Pn0xbKR.jpg,https://cdn.fashionbizapps.nz/honeybee/images/ZH232_bProduct_Orange_Black_02_tlGraAq.jpg,FALSE,,sc_01KP7ZJ51Y7PMZ5NA7NA8BAK5C,basic,,,,XS / Orange/Black,9.40104E+12,,,,,TRUE,FALSE,9.40104E+12,,,,,,,Size,XS,Colour,Orange/Black,,20.63,,,9,,,27.51,24.76,22.01,20.63
,syzmik-unisex-hi-vis-basic-long-sleeve-polo-zh232,Syzmik Unisex Hi Vis Basic Long Sleeve Polo ZH232,,"Sizes: XXS - 5XL, 7XL; Fabric: 100% Polyester, 175 GSM; Features: 144 Filament supreme microfibre polyester, Moisture wicking properties, Highly breathable and quick dry, Chest pocket with pen insert;",published,https://cdn.fashionbizapps.nz/honeybee/images/ZH232_bProduct_Orange_Black_01_Pn0xbKR.jpg,,,,,,"100% Polyester, 175 GSM",,,TRUE,,,,,https://cdn.fashionbizapps.nz/honeybee/images/ZH232_bProduct_Orange_Black_01_Pn0xbKR.jpg,https://cdn.fashionbizapps.nz/honeybee/images/ZH232_bProduct_Orange_Black_02_tlGraAq.jpg,FALSE,,sc_01KP7ZJ51Y7PMZ5NA7NA8BAK5C,basic,,,,XXS / Orange/Black,9.40104E+12,,,,,TRUE,FALSE,9.40104E+12,,,,,,,Size,XXS,Colour,Orange/Black,,20.63,,,10,,,27.51,24.76,22.01,20.63
,syzmik-unisex-hi-vis-basic-long-sleeve-polo-zh232,Syzmik Unisex Hi Vis Basic Long Sleeve Polo ZH232,,"Sizes: XXS - 5XL, 7XL; Fabric: 100% Polyester, 175 GSM; Features: 144 Filament supreme microfibre polyester, Moisture wicking properties, Highly breathable and quick dry, Chest pocket with pen insert;",published,https://cdn.fashionbizapps.nz/honeybee/images/ZH232_bProduct_Orange_Charcoal_01_1pjMbaY.jpg,,,,,,"100% Polyester, 175 GSM",,,TRUE,,,,,https://cdn.fashionbizapps.nz/honeybee/images/ZH232_bProduct_Orange_Charcoal_01_1pjMbaY.jpg,https://cdn.fashionbizapps.nz/honeybee/images/ZH232_bProduct_Orange_Charcoal_02_dtZBMO0.jpg,FALSE,,sc_01KP7ZJ51Y7PMZ5NA7NA8BAK5C,basic,,,,2XL / Orange/Charcoal,9.40104E+12,,,,,TRUE,FALSE,9.40104E+12,,,,,,,Size,2XL,Colour,Orange/Charcoal,,20.63,,,11,,,27.51,24.76,22.01,20.63
,syzmik-unisex-hi-vis-basic-long-sleeve-polo-zh232,Syzmik Unisex Hi Vis Basic Long Sleeve Polo ZH232,,"Sizes: XXS - 5XL, 7XL; Fabric: 100% Polyester, 175 GSM; Features: 144 Filament supreme microfibre polyester, Moisture wicking properties, Highly breathable and quick dry, Chest pocket with pen insert;",published,https://cdn.fashionbizapps.nz/honeybee/images/ZH232_bProduct_Orange_Charcoal_01_1pjMbaY.jpg,,,,,,"100% Polyester, 175 GSM",,,TRUE,,,,,https://cdn.fashionbizapps.nz/honeybee/images/ZH232_bProduct_Orange_Charcoal_01_1pjMbaY.jpg,https://cdn.fashionbizapps.nz/honeybee/images/ZH232_bProduct_Orange_Charcoal_02_dtZBMO0.jpg,FALSE,,sc_01KP7ZJ51Y7PMZ5NA7NA8BAK5C,basic,,,,3XL / Orange/Charcoal,9.40104E+12,,,,,TRUE,FALSE,9.40104E+12,,,,,,,Size,3XL,Colour,Orange/Charcoal,,20.63,,,12,,,27.51,24.76,22.01,20.63
,syzmik-unisex-hi-vis-basic-long-sleeve-polo-zh232,Syzmik Unisex Hi Vis Basic Long Sleeve Polo ZH232,,"Sizes: XXS - 5XL, 7XL; Fabric: 100% Polyester, 175 GSM; Features: 144 Filament supreme microfibre polyester, Moisture wicking properties, Highly breathable and quick dry, Chest pocket with pen insert;",published,https://cdn.fashionbizapps.nz/honeybee/images/ZH232_bProduct_Orange_Charcoal_01_1pjMbaY.jpg,,,,,,"100% Polyester, 175 GSM",,,TRUE,,,,,https://cdn.fashionbizapps.nz/honeybee/images/ZH232_bProduct_Orange_Charcoal_01_1pjMbaY.jpg,https://cdn.fashionbizapps.nz/honeybee/images/ZH232_bProduct_Orange_Charcoal_02_dtZBMO0.jpg,FALSE,,sc_01KP7ZJ51Y7PMZ5NA7NA8BAK5C,basic,,,,4XL / Orange/Charcoal,9.40104E+12,,,,,TRUE,FALSE,9.40104E+12,,,,,,,Size,4XL,Colour,Orange/Charcoal,,20.63,,,13,,,27.51,24.76,22.01,20.63
,syzmik-unisex-hi-vis-basic-long-sleeve-polo-zh232,Syzmik Unisex Hi Vis Basic Long Sleeve Polo ZH232,,"Sizes: XXS - 5XL, 7XL; Fabric: 100% Polyester, 175 GSM; Features: 144 Filament supreme microfibre polyester, Moisture wicking properties, Highly breathable and quick dry, Chest pocket with pen insert;",published,https://cdn.fashionbizapps.nz/honeybee/images/ZH232_bProduct_Orange_Charcoal_01_1pjMbaY.jpg,,,,,,"100% Polyester, 175 GSM",,,TRUE,,,,,https://cdn.fashionbizapps.nz/honeybee/images/ZH232_bProduct_Orange_Charcoal_01_1pjMbaY.jpg,https://cdn.fashionbizapps.nz/honeybee/images/ZH232_bProduct_Orange_Charcoal_02_dtZBMO0.jpg,FALSE,,sc_01KP7ZJ51Y7PMZ5NA7NA8BAK5C,basic,,,,5XL / Orange/Charcoal,9.40104E+12,,,,,TRUE,FALSE,9.40104E+12,,,,,,,Size,5XL,Colour,Orange/Charcoal,,20.63,,,14,,,27.51,24.76,22.01,20.63
,syzmik-unisex-hi-vis-basic-long-sleeve-polo-zh232,Syzmik Unisex Hi Vis Basic Long Sleeve Polo ZH232,,"Sizes: XXS - 5XL, 7XL; Fabric: 100% Polyester, 175 GSM; Features: 144 Filament supreme microfibre polyester, Moisture wicking properties, Highly breathable and quick dry, Chest pocket with pen insert;",published,https://cdn.fashionbizapps.nz/honeybee/images/ZH232_bProduct_Orange_Charcoal_01_1pjMbaY.jpg,,,,,,"100% Polyester, 175 GSM",,,TRUE,,,,,https://cdn.fashionbizapps.nz/honeybee/images/ZH232_bProduct_Orange_Charcoal_01_1pjMbaY.jpg,https://cdn.fashionbizapps.nz/honeybee/images/ZH232_bProduct_Orange_Charcoal_02_dtZBMO0.jpg,FALSE,,sc_01KP7ZJ51Y7PMZ5NA7NA8BAK5C,basic,,,,7XL / Orange/Charcoal,9.40104E+12,,,,,TRUE,FALSE,9.40104E+12,,,,,,,Size,7XL,Colour,Orange/Charcoal,,20.63,,,15,,,27.51,24.76,22.01,20.63
,syzmik-unisex-hi-vis-basic-long-sleeve-polo-zh232,Syzmik Unisex Hi Vis Basic Long Sleeve Polo ZH232,,"Sizes: XXS - 5XL, 7XL; Fabric: 100% Polyester, 175 GSM; Features: 144 Filament supreme microfibre polyester, Moisture wicking properties, Highly breathable and quick dry, Chest pocket with pen insert;",published,https://cdn.fashionbizapps.nz/honeybee/images/ZH232_bProduct_Orange_Charcoal_01_1pjMbaY.jpg,,,,,,"100% Polyester, 175 GSM",,,TRUE,,,,,https://cdn.fashionbizapps.nz/honeybee/images/ZH232_bProduct_Orange_Charcoal_01_1pjMbaY.jpg,https://cdn.fashionbizapps.nz/honeybee/images/ZH232_bProduct_Orange_Charcoal_02_dtZBMO0.jpg,FALSE,,sc_01KP7ZJ51Y7PMZ5NA7NA8BAK5C,basic,,,,L / Orange/Charcoal,9.40104E+12,,,,,TRUE,FALSE,9.40104E+12,,,,,,,Size,L,Colour,Orange/Charcoal,,20.63,,,16,,,27.51,24.76,22.01,20.63
,syzmik-unisex-hi-vis-basic-long-sleeve-polo-zh232,Syzmik Unisex Hi Vis Basic Long Sleeve Polo ZH232,,"Sizes: XXS - 5XL, 7XL; Fabric: 100% Polyester, 175 GSM; Features: 144 Filament supreme microfibre polyester, Moisture wicking properties, Highly breathable and quick dry, Chest pocket with pen insert;",published,https://cdn.fashionbizapps.nz/honeybee/images/ZH232_bProduct_Orange_Charcoal_01_1pjMbaY.jpg,,,,,,"100% Polyester, 175 GSM",,,TRUE,,,,,https://cdn.fashionbizapps.nz/honeybee/images/ZH232_bProduct_Orange_Charcoal_01_1pjMbaY.jpg,https://cdn.fashionbizapps.nz/honeybee/images/ZH232_bProduct_Orange_Charcoal_02_dtZBMO0.jpg,FALSE,,sc_01KP7ZJ51Y7PMZ5NA7NA8BAK5C,basic,,,,M / Orange/Charcoal,9.40104E+12,,,,,TRUE,FALSE,9.40104E+12,,,,,,,Size,M,Colour,Orange/Charcoal,,20.63,,,17,,,27.51,24.76,22.01,20.63
,syzmik-unisex-hi-vis-basic-long-sleeve-polo-zh232,Syzmik Unisex Hi Vis Basic Long Sleeve Polo ZH232,,"Sizes: XXS - 5XL, 7XL; Fabric: 100% Polyester, 175 GSM; Features: 144 Filament supreme microfibre polyester, Moisture wicking properties, Highly breathable and quick dry, Chest pocket with pen insert;",published,https://cdn.fashionbizapps.nz/honeybee/images/ZH232_bProduct_Orange_Charcoal_01_1pjMbaY.jpg,,,,,,"100% Polyester, 175 GSM",,,TRUE,,,,,https://cdn.fashionbizapps.nz/honeybee/images/ZH232_bProduct_Orange_Charcoal_01_1pjMbaY.jpg,https://cdn.fashionbizapps.nz/honeybee/images/ZH232_bProduct_Orange_Charcoal_02_dtZBMO0.jpg,FALSE,,sc_01KP7ZJ51Y7PMZ5NA7NA8BAK5C,basic,,,,S / Orange/Charcoal,9.40104E+12,,,,,TRUE,FALSE,9.40104E+12,,,,,,,Size,S,Colour,Orange/Charcoal,,20.63,,,18,,,27.51,24.76,22.01,20.63
,syzmik-unisex-hi-vis-basic-long-sleeve-polo-zh232,Syzmik Unisex Hi Vis Basic Long Sleeve Polo ZH232,,"Sizes: XXS - 5XL, 7XL; Fabric: 100% Polyester, 175 GSM; Features: 144 Filament supreme microfibre polyester, Moisture wicking properties, Highly breathable and quick dry, Chest pocket with pen insert;",published,https://cdn.fashionbizapps.nz/honeybee/images/ZH232_bProduct_Orange_Charcoal_01_1pjMbaY.jpg,,,,,,"100% Polyester, 175 GSM",,,TRUE,,,,,https://cdn.fashionbizapps.nz/honeybee/images/ZH232_bProduct_Orange_Charcoal_01_1pjMbaY.jpg,https://cdn.fashionbizapps.nz/honeybee/images/ZH232_bProduct_Orange_Charcoal_02_dtZBMO0.jpg,FALSE,,sc_01KP7ZJ51Y7PMZ5NA7NA8BAK5C,basic,,,,XL / Orange/Charcoal,9.40104E+12,,,,,TRUE,FALSE,9.40104E+12,,,,,,,Size,XL,Colour,Orange/Charcoal,,20.63,,,19,,,27.51,24.76,22.01,20.63
,syzmik-unisex-hi-vis-basic-long-sleeve-polo-zh232,Syzmik Unisex Hi Vis Basic Long Sleeve Polo ZH232,,"Sizes: XXS - 5XL, 7XL; Fabric: 100% Polyester, 175 GSM; Features: 144 Filament supreme microfibre polyester, Moisture wicking properties, Highly breathable and quick dry, Chest pocket with pen insert;",published,https://cdn.fashionbizapps.nz/honeybee/images/ZH232_bProduct_Orange_Charcoal_01_1pjMbaY.jpg,,,,,,"100% Polyester, 175 GSM",,,TRUE,,,,,https://cdn.fashionbizapps.nz/honeybee/images/ZH232_bProduct_Orange_Charcoal_01_1pjMbaY.jpg,https://cdn.fashionbizapps.nz/honeybee/images/ZH232_bProduct_Orange_Charcoal_02_dtZBMO0.jpg,FALSE,,sc_01KP7ZJ51Y7PMZ5NA7NA8BAK5C,basic,,,,XS / Orange/Charcoal,9.40104E+12,,,,,TRUE,FALSE,9.40104E+12,,,,,,,Size,XS,Colour,Orange/Charcoal,,20.63,,,20,,,27.51,24.76,22.01,20.63
,syzmik-unisex-hi-vis-basic-long-sleeve-polo-zh232,Syzmik Unisex Hi Vis Basic Long Sleeve Polo ZH232,,"Sizes: XXS - 5XL, 7XL; Fabric: 100% Polyester, 175 GSM; Features: 144 Filament supreme microfibre polyester, Moisture wicking properties, Highly breathable and quick dry, Chest pocket with pen insert;",published,https://cdn.fashionbizapps.nz/honeybee/images/ZH232_bProduct_Orange_Charcoal_01_1pjMbaY.jpg,,,,,,"100% Polyester, 175 GSM",,,TRUE,,,,,https://cdn.fashionbizapps.nz/honeybee/images/ZH232_bProduct_Orange_Charcoal_01_1pjMbaY.jpg,https://cdn.fashionbizapps.nz/honeybee/images/ZH232_bProduct_Orange_Charcoal_02_dtZBMO0.jpg,FALSE,,sc_01KP7ZJ51Y7PMZ5NA7NA8BAK5C,basic,,,,XXS / Orange/Charcoal,9.40104E+12,,,,,TRUE,FALSE,9.40104E+12,,,,,,,Size,XXS,Colour,Orange/Charcoal,,20.63,,,21,,,27.51,24.76,22.01,20.63
,syzmik-unisex-hi-vis-basic-long-sleeve-polo-zh232,Syzmik Unisex Hi Vis Basic Long Sleeve Polo ZH232,,"Sizes: XXS - 5XL, 7XL; Fabric: 100% Polyester, 175 GSM; Features: 144 Filament supreme microfibre polyester, Moisture wicking properties, Highly breathable and quick dry, Chest pocket with pen insert;",published,https://cdn.fashionbizapps.nz/honeybee/images/ZH232_aTalent_Orange_Navy_01_63Yb8QB.jpg,,,,,,"100% Polyester, 175 GSM",,,TRUE,,,,,https://cdn.fashionbizapps.nz/honeybee/images/ZH232_aTalent_Orange_Navy_01_63Yb8QB.jpg,https://cdn.fashionbizapps.nz/honeybee/images/ZH232_bProduct_Orange_Navy_01_sehlUf6.jpg,FALSE,,sc_01KP7ZJ51Y7PMZ5NA7NA8BAK5C,basic,,,,2XL / Orange/Navy,9.40104E+12,,,,,TRUE,FALSE,9.40104E+12,,,,,,,Size,2XL,Colour,Orange/Navy,,20.63,,,22,,,27.51,24.76,22.01,20.63
,syzmik-unisex-hi-vis-basic-long-sleeve-polo-zh232,Syzmik Unisex Hi Vis Basic Long Sleeve Polo ZH232,,"Sizes: XXS - 5XL, 7XL; Fabric: 100% Polyester, 175 GSM; Features: 144 Filament supreme microfibre polyester, Moisture wicking properties, Highly breathable and quick dry, Chest pocket with pen insert;",published,https://cdn.fashionbizapps.nz/honeybee/images/ZH232_aTalent_Orange_Navy_01_63Yb8QB.jpg,,,,,,"100% Polyester, 175 GSM",,,TRUE,,,,,https://cdn.fashionbizapps.nz/honeybee/images/ZH232_aTalent_Orange_Navy_01_63Yb8QB.jpg,https://cdn.fashionbizapps.nz/honeybee/images/ZH232_bProduct_Orange_Navy_01_sehlUf6.jpg,FALSE,,sc_01KP7ZJ51Y7PMZ5NA7NA8BAK5C,basic,,,,3XL / Orange/Navy,9.40104E+12,,,,,TRUE,FALSE,9.40104E+12,,,,,,,Size,3XL,Colour,Orange/Navy,,20.63,,,23,,,27.51,24.76,22.01,20.63
,syzmik-unisex-hi-vis-basic-long-sleeve-polo-zh232,Syzmik Unisex Hi Vis Basic Long Sleeve Polo ZH232,,"Sizes: XXS - 5XL, 7XL; Fabric: 100% Polyester, 175 GSM; Features: 144 Filament supreme microfibre polyester, Moisture wicking properties, Highly breathable and quick dry, Chest pocket with pen insert;",published,https://cdn.fashionbizapps.nz/honeybee/images/ZH232_aTalent_Orange_Navy_01_63Yb8QB.jpg,,,,,,"100% Polyester, 175 GSM",,,TRUE,,,,,https://cdn.fashionbizapps.nz/honeybee/images/ZH232_aTalent_Orange_Navy_01_63Yb8QB.jpg,https://cdn.fashionbizapps.nz/honeybee/images/ZH232_bProduct_Orange_Navy_01_sehlUf6.jpg,FALSE,,sc_01KP7ZJ51Y7PMZ5NA7NA8BAK5C,basic,,,,4XL / Orange/Navy,9.40104E+12,,,,,TRUE,FALSE,9.40104E+12,,,,,,,Size,4XL,Colour,Orange/Navy,,20.63,,,24,,,27.51,24.76,22.01,20.63
,syzmik-unisex-hi-vis-basic-long-sleeve-polo-zh232,Syzmik Unisex Hi Vis Basic Long Sleeve Polo ZH232,,"Sizes: XXS - 5XL, 7XL; Fabric: 100% Polyester, 175 GSM; Features: 144 Filament supreme microfibre polyester, Moisture wicking properties, Highly breathable and quick dry, Chest pocket with pen insert;",published,https://cdn.fashionbizapps.nz/honeybee/images/ZH232_aTalent_Orange_Navy_01_63Yb8QB.jpg,,,,,,"100% Polyester, 175 GSM",,,TRUE,,,,,https://cdn.fashionbizapps.nz/honeybee/images/ZH232_aTalent_Orange_Navy_01_63Yb8QB.jpg,https://cdn.fashionbizapps.nz/honeybee/images/ZH232_bProduct_Orange_Navy_01_sehlUf6.jpg,FALSE,,sc_01KP7ZJ51Y7PMZ5NA7NA8BAK5C,basic,,,,5XL / Orange/Navy,9.40104E+12,,,,,TRUE,FALSE,9.40104E+12,,,,,,,Size,5XL,Colour,Orange/Navy,,20.63,,,25,,,27.51,24.76,22.01,20.63
,syzmik-unisex-hi-vis-basic-long-sleeve-polo-zh232,Syzmik Unisex Hi Vis Basic Long Sleeve Polo ZH232,,"Sizes: XXS - 5XL, 7XL; Fabric: 100% Polyester, 175 GSM; Features: 144 Filament supreme microfibre polyester, Moisture wicking properties, Highly breathable and quick dry, Chest pocket with pen insert;",published,https://cdn.fashionbizapps.nz/honeybee/images/ZH232_aTalent_Orange_Navy_01_63Yb8QB.jpg,,,,,,"100% Polyester, 175 GSM",,,TRUE,,,,,https://cdn.fashionbizapps.nz/honeybee/images/ZH232_aTalent_Orange_Navy_01_63Yb8QB.jpg,https://cdn.fashionbizapps.nz/honeybee/images/ZH232_bProduct_Orange_Navy_01_sehlUf6.jpg,FALSE,,sc_01KP7ZJ51Y7PMZ5NA7NA8BAK5C,basic,,,,7XL / Orange/Navy,9.40104E+12,,,,,TRUE,FALSE,9.40104E+12,,,,,,,Size,7XL,Colour,Orange/Navy,,20.63,,,26,,,27.51,24.76,22.01,20.63
,syzmik-unisex-hi-vis-basic-long-sleeve-polo-zh232,Syzmik Unisex Hi Vis Basic Long Sleeve Polo ZH232,,"Sizes: XXS - 5XL, 7XL; Fabric: 100% Polyester, 175 GSM; Features: 144 Filament supreme microfibre polyester, Moisture wicking properties, Highly breathable and quick dry, Chest pocket with pen insert;",published,https://cdn.fashionbizapps.nz/honeybee/images/ZH232_aTalent_Orange_Navy_01_63Yb8QB.jpg,,,,,,"100% Polyester, 175 GSM",,,TRUE,,,,,https://cdn.fashionbizapps.nz/honeybee/images/ZH232_aTalent_Orange_Navy_01_63Yb8QB.jpg,https://cdn.fashionbizapps.nz/honeybee/images/ZH232_bProduct_Orange_Navy_01_sehlUf6.jpg,FALSE,,sc_01KP7ZJ51Y7PMZ5NA7NA8BAK5C,basic,,,,L / Orange/Navy,9.40104E+12,,,,,TRUE,FALSE,9.40104E+12,,,,,,,Size,L,Colour,Orange/Navy,,20.63,,,27,,,27.51,24.76,22.01,20.63
