ProductCode,Description,Description2,Description3,Barcode,Image,URL,Condition,Price,Picture 1,Picture 2,Picture 3
372745269,HiVis Rugby Top Windcheater Orange/Navy 4XL,Orange/Navy,4XL,9335975151145,https://www.dncworkwear.com.au/images/hires/3727452.jpg,https://www.dncworkwear.com.au/Product/372745269,Discontinued,$21.50 ,3727452.jpg,,
372745270,HiVis Rugby Top Windcheater Orange/Navy 5XL,Orange/Navy,5XL,9335975151152,https://www.dncworkwear.com.au/images/hires/3727452.jpg,https://www.dncworkwear.com.au/Product/372745270,,$21.50 ,3727452.jpg,,
372745271,HiVis Rugby Top Windcheater Orange/Navy 6XL,Orange/Navy,6XL,9335975151169,https://www.dncworkwear.com.au/images/hires/3727452.jpg,https://www.dncworkwear.com.au/Product/372745271,,$21.50 ,3727452.jpg,,
3728,HiVis Contrast Piping Fleecy Hoodie,,,,https://www.dncworkwear.com.au/images/hires/3728452.jpg,https://www.dncworkwear.com.au/Product/3728,,$28.95 ,3728452.jpg,,
372835763,HiVis Full Zip Fleecy Hoodie Yellow/Navy S,Yellow/Navy,S,9335975135237,https://www.dncworkwear.com.au/images/hires/3728357.jpg,https://www.dncworkwear.com.au/Product/372835763,,$28.95 ,3728357.jpg,,
372835764,HiVis Full Zip Fleecy Hoodie Yellow/Navy M,Yellow/Navy,M,9335975135244,https://www.dncworkwear.com.au/images/hires/3728357.jpg,https://www.dncworkwear.com.au/Product/372835764,,$28.95 ,3728357.jpg,,
372835765,HiVis Full Zip Fleecy Hoodie Yellow/Navy L,Yellow/Navy,L,9335975135251,https://www.dncworkwear.com.au/images/hires/3728357.jpg,https://www.dncworkwear.com.au/Product/372835765,,$28.95 ,3728357.jpg,,
372835766,HiVis Full Zip Fleecy Hoodie Yellow/Navy XL,Yellow/Navy,XL,9335975135268,https://www.dncworkwear.com.au/images/hires/3728357.jpg,https://www.dncworkwear.com.au/Product/372835766,,$28.95 ,3728357.jpg,,
372835767,HiVis Full Zip Fleecy Hoodie Yellow/Navy 2XL,Yellow/Navy,2XL,9335975135275,https://www.dncworkwear.com.au/images/hires/3728357.jpg,https://www.dncworkwear.com.au/Product/372835767,,$28.95 ,3728357.jpg,,
372835768,HiVis Full Zip Fleecy Hoodie Yellow/Navy 3XL,Yellow/Navy,3XL,9335975135282,https://www.dncworkwear.com.au/images/hires/3728357.jpg,https://www.dncworkwear.com.au/Product/372835768,,$28.95 ,3728357.jpg,,
372835769,HiVis Full Zip Fleecy Hoodie Yellow/Navy 4XL,Yellow/Navy,4XL,9335975135299,https://www.dncworkwear.com.au/images/hires/3728357.jpg,https://www.dncworkwear.com.au/Product/372835769,,$28.95 ,3728357.jpg,,
372835770,HiVis Full Zip Fleecy Hoodie Yellow/Navy 5XL,Yellow/Navy,5XL,9335975135305,https://www.dncworkwear.com.au/images/hires/3728357.jpg,https://www.dncworkwear.com.au/Product/372835770,,$28.95 ,3728357.jpg,,
372835771,HiVis Full Zip Fleecy Hoodie Yellow/Navy 6XL,Yellow/Navy,6XL,9335975135312,https://www.dncworkwear.com.au/images/hires/3728357.jpg,https://www.dncworkwear.com.au/Product/372835771,,$28.95 ,3728357.jpg,,
372845263,HiVis Full Zip Fleecy Hoodie Orange/Navy S,Orange/Navy,S,9335975135329,https://www.dncworkwear.com.au/images/hires/3728452.jpg,https://www.dncworkwear.com.au/Product/372845263,,$28.95 ,3728452.jpg,,
372845264,HiVis Full Zip Fleecy Hoodie Orange/Navy M,Orange/Navy,M,9335975135336,https://www.dncworkwear.com.au/images/hires/3728452.jpg,https://www.dncworkwear.com.au/Product/372845264,,$28.95 ,3728452.jpg,,
372845265,HiVis Full Zip Fleecy Hoodie Orange/Navy L,Orange/Navy,L,9335975135343,https://www.dncworkwear.com.au/images/hires/3728452.jpg,https://www.dncworkwear.com.au/Product/372845265,,$28.95 ,3728452.jpg,,
372845266,HiVis Full Zip Fleecy Hoodie Orange/Navy XL,Orange/Navy,XL,9335975135350,https://www.dncworkwear.com.au/images/hires/3728452.jpg,https://www.dncworkwear.com.au/Product/372845266,,$28.95 ,3728452.jpg,,
372845267,HiVis Full Zip Fleecy Hoodie Orange/Navy 2XL,Orange/Navy,2XL,9335975135367,https://www.dncworkwear.com.au/images/hires/3728452.jpg,https://www.dncworkwear.com.au/Product/372845267,,$28.95 ,3728452.jpg,,
372845268,HiVis Full Zip Fleecy Hoodie Orange/Navy 3XL,Orange/Navy,3XL,9335975135374,https://www.dncworkwear.com.au/images/hires/3728452.jpg,https://www.dncworkwear.com.au/Product/372845268,,$28.95 ,3728452.jpg,,
372845269,HiVis Full Zip Fleecy Hoodie Orange/Navy 4XL,Orange/Navy,4XL,9335975135381,https://www.dncworkwear.com.au/images/hires/3728452.jpg,https://www.dncworkwear.com.au/Product/372845269,,$28.95 ,3728452.jpg,,
372845270,HiVis Full Zip Fleecy Hoodie Orange/Navy 5XL,Orange/Navy,5XL,9335975135398,https://www.dncworkwear.com.au/images/hires/3728452.jpg,https://www.dncworkwear.com.au/Product/372845270,,$28.95 ,3728452.jpg,,
372845271,HiVis Full Zip Fleecy Hoodie Orange/Navy 6XL,Orange/Navy,6XL,9335975135404,https://www.dncworkwear.com.au/images/hires/3728452.jpg,https://www.dncworkwear.com.au/Product/372845271,,$28.95 ,3728452.jpg,,
3729,HiVis 1/2 Zip Fleecy with Hoop Pattern CSR Reflective Tape,,,,https://www.dncworkwear.com.au/images/hires/3729357.jpg,https://www.dncworkwear.com.au/Product/3729,,$31.95 ,3729357.jpg,,
372935762,HiVis D/N 1/2 Zip Fleecy GTape Yellow/Navy XS,Yellow/Navy,XS,9335975150773,https://www.dncworkwear.com.au/images/hires/3729357.jpg,https://www.dncworkwear.com.au/Product/372935762,,$31.95 ,3729357.jpg,,
372935763,HiVis D/N 1/2 Zip Fleecy GTape Yellow/Navy S,Yellow/Navy,S,9335975150780,https://www.dncworkwear.com.au/images/hires/3729357.jpg,https://www.dncworkwear.com.au/Product/372935763,,$31.95 ,3729357.jpg,,
372935764,HiVis D/N 1/2 Zip Fleecy GTape Yellow/Navy M,Yellow/Navy,M,9335975150797,https://www.dncworkwear.com.au/images/hires/3729357.jpg,https://www.dncworkwear.com.au/Product/372935764,,$31.95 ,3729357.jpg,,
372935765,HiVis D/N 1/2 Zip Fleecy GTape Yellow/Navy L,Yellow/Navy,L,9335975150803,https://www.dncworkwear.com.au/images/hires/3729357.jpg,https://www.dncworkwear.com.au/Product/372935765,,$31.95 ,3729357.jpg,,
372935766,HiVis D/N 1/2 Zip Fleecy GTape Yellow/Navy XL,Yellow/Navy,XL,9335975150810,https://www.dncworkwear.com.au/images/hires/3729357.jpg,https://www.dncworkwear.com.au/Product/372935766,,$31.95 ,3729357.jpg,,
372935767,HiVis D/N 1/2 Zip Fleecy GTape Yellow/Navy 2XL,Yellow/Navy,2XL,9335975150827,https://www.dncworkwear.com.au/images/hires/3729357.jpg,https://www.dncworkwear.com.au/Product/372935767,,$31.95 ,3729357.jpg,,
372935768,HiVis D/N 1/2 Zip Fleecy GTape Yellow/Navy 3XL,Yellow/Navy,3XL,9335975150834,https://www.dncworkwear.com.au/images/hires/3729357.jpg,https://www.dncworkwear.com.au/Product/372935768,,$31.95 ,3729357.jpg,,
372935769,HiVis D/N 1/2 Zip Fleecy GTape Yellow/Navy 4XL,Yellow/Navy,4XL,9335975150841,https://www.dncworkwear.com.au/images/hires/3729357.jpg,https://www.dncworkwear.com.au/Product/372935769,,$31.95 ,3729357.jpg,,
372935770,HiVis D/N 1/2 Zip Fleecy GTape Yellow/Navy 5XL,Yellow/Navy,5XL,9335975150858,https://www.dncworkwear.com.au/images/hires/3729357.jpg,https://www.dncworkwear.com.au/Product/372935770,,$31.95 ,3729357.jpg,,
372935771,HiVis D/N 1/2 Zip Fleecy GTape Yellow/Navy 6XL,Yellow/Navy,6XL,9335975150865,https://www.dncworkwear.com.au/images/hires/3729357.jpg,https://www.dncworkwear.com.au/Product/372935771,,$31.95 ,3729357.jpg,,
372945262,HiVis D/N 1/2 Zip Fleecy GTape Orange/Navy XS,Orange/Navy,XS,9335975150872,https://www.dncworkwear.com.au/images/hires/3729452.jpg,https://www.dncworkwear.com.au/Product/372945262,,$31.95 ,3729452.jpg,,
372945263,HiVis D/N 1/2 Zip Fleecy GTape Orange/Navy S,Orange/Navy,S,9335975150889,https://www.dncworkwear.com.au/images/hires/3729452.jpg,https://www.dncworkwear.com.au/Product/372945263,,$31.95 ,3729452.jpg,,
372945264,HiVis D/N 1/2 Zip Fleecy GTape Orange/Navy M,Orange/Navy,M,9335975150896,https://www.dncworkwear.com.au/images/hires/3729452.jpg,https://www.dncworkwear.com.au/Product/372945264,,$31.95 ,3729452.jpg,,
372945265,HiVis D/N 1/2 Zip Fleecy GTape Orange/Navy L,Orange/Navy,L,9335975150902,https://www.dncworkwear.com.au/images/hires/3729452.jpg,https://www.dncworkwear.com.au/Product/372945265,,$31.95 ,3729452.jpg,,
372945266,HiVis D/N 1/2 Zip Fleecy GTape Orange/Navy XL,Orange/Navy,XL,9335975150919,https://www.dncworkwear.com.au/images/hires/3729452.jpg,https://www.dncworkwear.com.au/Product/372945266,,$31.95 ,3729452.jpg,,
372945267,HiVis D/N 1/2 Zip Fleecy GTape Orange/Navy 2XL,Orange/Navy,2XL,9335975150926,https://www.dncworkwear.com.au/images/hires/3729452.jpg,https://www.dncworkwear.com.au/Product/372945267,,$31.95 ,3729452.jpg,,
372945268,HiVis D/N 1/2 Zip Fleecy GTape Orange/Navy 3XL,Orange/Navy,3XL,9335975150933,https://www.dncworkwear.com.au/images/hires/3729452.jpg,https://www.dncworkwear.com.au/Product/372945268,,$31.95 ,3729452.jpg,,
372945269,HiVis D/N 1/2 Zip Fleecy GTape Orange/Navy 4XL,Orange/Navy,4XL,9335975150940,https://www.dncworkwear.com.au/images/hires/3729452.jpg,https://www.dncworkwear.com.au/Product/372945269,,$31.95 ,3729452.jpg,,
372945270,HiVis D/N 1/2 Zip Fleecy GTape Orange/Navy 5XL,Orange/Navy,5XL,9335975150957,https://www.dncworkwear.com.au/images/hires/3729452.jpg,https://www.dncworkwear.com.au/Product/372945270,,$31.95 ,3729452.jpg,,
372945271,HiVis D/N 1/2 Zip Fleecy GTape Orange/Navy 6XL,Orange/Navy,6XL,9335975150964,https://www.dncworkwear.com.au/images/hires/3729452.jpg,https://www.dncworkwear.com.au/Product/372945271,,$31.95 ,3729452.jpg,,
3730,"Hivis ""X"" back & Biomotion taped Polar Fleece",,,9335975178982,https://www.dncworkwear.com.au/images/hires/3730 ON FRONT.jpg,https://www.dncworkwear.com.au/Product/3730,,$30.95 ,3730 ON FRONT.jpg,3730 ON BACK.jpg,3730 ON SIDE.jpg
373035062,"Hivis ""X"" back & BT Polar Flcy Yellow XS",Yellow,XS,9335975178999,https://www.dncworkwear.com.au/images/hires/3730 YN FRONT.jpg,https://www.dncworkwear.com.au/Product/373035062,,$30.95 ,3730 YN FRONT.jpg,3730 YN BACK.jpg,3730 YN DETAIL.jpg
373035063,"Hivis ""X"" back & BT Polar Flcy Yellow S",Yellow,S,9335975179002,https://www.dncworkwear.com.au/images/hires/3730 YN FRONT.jpg,https://www.dncworkwear.com.au/Product/373035063,,$30.95 ,3730 YN FRONT.jpg,3730 YN BACK.jpg,3730 YN DETAIL.jpg
