Product Id,Product Handle,Product Title,Product Subtitle,Product Description,Product Status,Product Thumbnail,Product Weight,Product Length,Product Width,Product Height,Product Origin Country,Product Material,Product Collection Id,Product Type Id,Product Discountable,Product External Id,Product Created At,Product Deleted At,Product Hs Code,Product Image 1,Product Image 2,Product Is Giftcard,Product Mid Code,Product Sales Channel 1,Product Tag 1,Product Tag 2,Product Updated At,Variant Id,Variant Title,Variant Sku,Variant Upc,Variant Ean,Variant Hs Code,Variant Mid Code,Variant Manage Inventory,Variant Allow Backorder,Variant Barcode,Variant Created At,Variant Deleted At,Variant Height,Variant Length,Variant Material,Variant Metadata,Variant Option 1 Name,Variant Option 1 Value,Variant Option 2 Name,Variant Option 2 Value,Variant Origin Country,Variant Price AUD,Variant Product Id,Variant Updated At,Variant Variant Rank,Variant Weight,Variant Width
,as-colour-parcel-tote-1000,AS Colour Parcel Tote 1000,,Smaller Style,published,https://cdn11.bigcommerce.com/s-lqiq2tqil5/products/204/images/4883/1000_PARCEL_TOTE_BLACK_SHOPPED__95614.1615762709.386.513.jpg?c=1,,,,,CN,100% Cotton Canvas,,,true,,,,4202.92.91.90,https://cdn11.bigcommerce.com/s-lqiq2tqil5/products/204/images/4883/1000_PARCEL_TOTE_BLACK_SHOPPED__95614.1615762709.386.513.jpg?c=1,,false,,sc_01KP7ZJ51Y7PMZ5NA7NA8BAK5C,,,,,One Size / Black,1000-BLACK-P-OS,,,4202.92.91.90,,true,false,,,,,,,,Size,One Size,Colour,Black,CN,27,,,0,,
,as-colour-parcel-tote-1000,AS Colour Parcel Tote 1000,,Smaller Style,published,https://cdn11.bigcommerce.com/s-lqiq2tqil5/products/204/images/376/1000_PARCEL_TOTE_CREAM__54568.1588308898.386.513.jpg?c=1,,,,,CN,100% Cotton Canvas,,,true,,,,4202.92.91.90,https://cdn11.bigcommerce.com/s-lqiq2tqil5/products/204/images/376/1000_PARCEL_TOTE_CREAM__54568.1588308898.386.513.jpg?c=1,,false,,sc_01KP7ZJ51Y7PMZ5NA7NA8BAK5C,,,,,One Size / Cream,1000-CREAM-P-OS,,,4202.92.91.90,,true,false,,,,,,,,Size,One Size,Colour,Cream,CN,27,,,1,,
,as-colour-parcel-tote-1000,AS Colour Parcel Tote 1000,,Smaller Style,published,https://cdn11.bigcommerce.com/s-lqiq2tqil5/products/204/images/13787/1000_PARCEL_TOTE_GREY_MARLE__76310.1686866360.386.513.jpg?c=1,,,,,CN,100% Cotton Canvas,,,true,,,,4202.92.91.90,https://cdn11.bigcommerce.com/s-lqiq2tqil5/products/204/images/13787/1000_PARCEL_TOTE_GREY_MARLE__76310.1686866360.386.513.jpg?c=1,,false,,sc_01KP7ZJ51Y7PMZ5NA7NA8BAK5C,,,,,One Size / Grey Marle,1000-GRE_M-P-OS,,,4202.92.91.90,,true,false,,,,,,,,Size,One Size,Colour,Grey Marle,CN,27,,,2,,
,as-colour-carrie-tote-1001,AS Colour Carrie Tote 1001,,Large Style,published,https://cdn11.bigcommerce.com/s-lqiq2tqil5/products/205/images/26755/1001_CARRIE_TOTE_ARMY__56291.1751581749.386.513.jpg?c=1,,,,,CN,100% Cotton Canvas,,,true,,,,4202.92.91.90,https://cdn11.bigcommerce.com/s-lqiq2tqil5/products/205/images/26755/1001_CARRIE_TOTE_ARMY__56291.1751581749.386.513.jpg?c=1,,false,,sc_01KP7ZJ51Y7PMZ5NA7NA8BAK5C,,,,,One Size / Army,1001-ARMY-P-OS,,,4202.92.91.90,,true,false,,,,,,,,Size,One Size,Colour,Army,CN,30,,,0,,
,as-colour-carrie-tote-1001,AS Colour Carrie Tote 1001,,Large Style,published,https://cdn11.bigcommerce.com/s-lqiq2tqil5/products/205/images/5638/1001_CARRIE_TOTE_BLACK__20120.1751581749.386.513.jpg?c=1,,,,,CN,100% Cotton Canvas,,,true,,,,4202.92.91.90,https://cdn11.bigcommerce.com/s-lqiq2tqil5/products/205/images/5638/1001_CARRIE_TOTE_BLACK__20120.1751581749.386.513.jpg?c=1,,false,,sc_01KP7ZJ51Y7PMZ5NA7NA8BAK5C,,,,,One Size / Black,1001-BLACK-P-OS,,,4202.92.91.90,,true,false,,,,,,,,Size,One Size,Colour,Black,CN,30,,,1,,
,as-colour-carrie-tote-1001,AS Colour Carrie Tote 1001,,Large Style,published,https://cdn11.bigcommerce.com/s-lqiq2tqil5/products/205/images/14232/1001_CARRIE_TOTE_BONE__40741.1692160387.386.513.jpg?c=1,,,,,CN,100% Cotton Canvas,,,true,,,,4202.92.91.90,https://cdn11.bigcommerce.com/s-lqiq2tqil5/products/205/images/14232/1001_CARRIE_TOTE_BONE__40741.1692160387.386.513.jpg?c=1,,false,,sc_01KP7ZJ51Y7PMZ5NA7NA8BAK5C,,,,,One Size / Bone,1001-BONE-P-OS,,,4202.92.91.90,,true,false,,,,,,,,Size,One Size,Colour,Bone,CN,30,,,2,,
,as-colour-carrie-tote-1001,AS Colour Carrie Tote 1001,,Large Style,published,https://cdn11.bigcommerce.com/s-lqiq2tqil5/products/205/images/4890/1001_CARRIE_TOTE_CAMEL__96650.1749160365.386.513.jpg?c=1,,,,,CN,100% Cotton Canvas,,,true,,,,4202.92.91.90,https://cdn11.bigcommerce.com/s-lqiq2tqil5/products/205/images/4890/1001_CARRIE_TOTE_CAMEL__96650.1749160365.386.513.jpg?c=1,,false,,sc_01KP7ZJ51Y7PMZ5NA7NA8BAK5C,,,,,One Size / Camel,1001-CAMEL-P-OS,,,4202.92.91.90,,true,false,,,,,,,,Size,One Size,Colour,Camel,CN,30,,,3,,
,as-colour-carrie-tote-1001,AS Colour Carrie Tote 1001,,Large Style,published,https://cdn11.bigcommerce.com/s-lqiq2tqil5/products/205/images/27748/1001_CARRIE_TOTE_COAL__30020.1751581750.386.513.jpg?c=1,,,,,CN,100% Cotton Canvas,,,true,,,,4202.92.91.90,https://cdn11.bigcommerce.com/s-lqiq2tqil5/products/205/images/27748/1001_CARRIE_TOTE_COAL__30020.1751581750.386.513.jpg?c=1,,false,,sc_01KP7ZJ51Y7PMZ5NA7NA8BAK5C,,,,,One Size / Coal,1001-COAL-P-OS,,,4202.92.91.90,,true,false,,,,,,,,Size,One Size,Colour,Coal,CN,30,,,4,,
,as-colour-carrie-tote-1001,AS Colour Carrie Tote 1001,,Large Style,published,https://cdn11.bigcommerce.com/s-lqiq2tqil5/products/205/images/19656/1001_CARRIE_TOTE_CREAM__79163.1749160365.386.513.jpg?c=1,,,,,CN,100% Cotton Canvas,,,true,,,,4202.92.91.90,https://cdn11.bigcommerce.com/s-lqiq2tqil5/products/205/images/19656/1001_CARRIE_TOTE_CREAM__79163.1749160365.386.513.jpg?c=1,,false,,sc_01KP7ZJ51Y7PMZ5NA7NA8BAK5C,,,,,One Size / Cream,1001-CREAM-P-OS,,,4202.92.91.90,,true,false,,,,,,,,Size,One Size,Colour,Cream,CN,30,,,5,,
,as-colour-carrie-tote-1001,AS Colour Carrie Tote 1001,,Large Style,published,https://cdn11.bigcommerce.com/s-lqiq2tqil5/products/205/images/26563/1001_CARRIE_TOTE_KHAKI__63751.1751581749.386.513.jpg?c=1,,,,,CN,100% Cotton Canvas,,,true,,,,4202.92.91.90,https://cdn11.bigcommerce.com/s-lqiq2tqil5/products/205/images/26563/1001_CARRIE_TOTE_KHAKI__63751.1751581749.386.513.jpg?c=1,,false,,sc_01KP7ZJ51Y7PMZ5NA7NA8BAK5C,,,,,One Size / Khaki,1001-KHAKI-P-OS,,,4202.92.91.90,,true,false,,,,,,,,Size,One Size,Colour,Khaki,CN,30,,,6,,
