Product Id,Product Handle,Product Title,Product Subtitle,Product Description,Product Status,Product Thumbnail,Product Weight,Product Length,Product Width,Product Height,Product Origin Country,Product Material,Product Collection Id,Product Type Id,Product Discountable,Product External Id,Product Created At,Product Deleted At,Product Hs Code,Product Image 1,Product Image 2,Product Is Giftcard,Product Mid Code,Product Sales Channel 1,Product Tag 1,Product Tag 2,Product Updated At,Variant Id,Variant Title,Variant Sku,Variant Upc,Variant Ean,Variant Hs Code,Variant Mid Code,Variant Manage Inventory,Variant Allow Backorder,Variant Barcode,Variant Created At,Variant Deleted At,Variant Height,Variant Length,Variant Material,Variant Metadata,Variant Option 1 Name,Variant Option 1 Value,Variant Option 2 Name,Variant Option 2 Value,Variant Origin Country,Variant Price AUD,Variant Product Id,Variant Updated At,Variant Variant Rank,Variant Weight,Variant Width
,ramo-short-waist-apron-100-cotton-canvas-ap401s,Ramo Short Waist Apron - 100% cotton canvas,Aprons,210 gsm 100% cotton canvas aproncontains flap and pocket55cm X 85cm (H x W)Pocket size: 29cm X 20cm (H x W) AP401S - Lady on the RIGHT AP401L - Lady on the LEFT AP403B - Man in the MIDDLE,published,https://www.ramo.com.au/persistent/catalogue_images/products/ap401s_short_waist_apron_100_cotton_canvas_hero.jpg,,,,,,,,,true,,,,,https://www.ramo.com.au/persistent/catalogue_images/products/ap401s_short_waist_apron_100_cotton_canvas_hero.jpg,,false,,sc_01KP7ZJ51Y7PMZ5NA7NA8BAK5C,,,,,S / Azure,AP401S_AZ_S,,,,,true,false,AP401S_AZ_S,,,,,,,Size,S,Colour,Azure,,9.00,,,0,,
,ramo-short-waist-apron-100-cotton-canvas-ap401s,Ramo Short Waist Apron - 100% cotton canvas,Aprons,210 gsm 100% cotton canvas aproncontains flap and pocket55cm X 85cm (H x W)Pocket size: 29cm X 20cm (H x W) AP401S - Lady on the RIGHT AP401L - Lady on the LEFT AP403B - Man in the MIDDLE,published,https://www.ramo.com.au/persistent/catalogue_images/products/AP401S_Black.jpg,,,,,,,,,true,,,,,https://www.ramo.com.au/persistent/catalogue_images/products/AP401S_Black.jpg,https://www.ramo.com.au/persistent/catalogue_images/products/AP401S_1.jpg,false,,sc_01KP7ZJ51Y7PMZ5NA7NA8BAK5C,,,,,S / Black,AP401S_BL_S,,,,,true,false,AP401S_BL_S,,,,,,,Size,S,Colour,Black,,9.00,,,1,,
,ramo-short-waist-apron-100-cotton-canvas-ap401s,Ramo Short Waist Apron - 100% cotton canvas,Aprons,210 gsm 100% cotton canvas aproncontains flap and pocket55cm X 85cm (H x W)Pocket size: 29cm X 20cm (H x W) AP401S - Lady on the RIGHT AP401L - Lady on the LEFT AP403B - Man in the MIDDLE,published,https://www.ramo.com.au/persistent/catalogue_images/products/AP401S_Navy.jpg,,,,,,,,,true,,,,,https://www.ramo.com.au/persistent/catalogue_images/products/AP401S_Navy.jpg,https://www.ramo.com.au/persistent/catalogue_images/products/AP401S_1.jpg,false,,sc_01KP7ZJ51Y7PMZ5NA7NA8BAK5C,,,,,S / Navy,AP401S_NA_S,,,,,true,false,AP401S_NA_S,,,,,,,Size,S,Colour,Navy,,9.00,,,2,,
,ramo-short-waist-apron-100-cotton-canvas-ap401s,Ramo Short Waist Apron - 100% cotton canvas,Aprons,210 gsm 100% cotton canvas aproncontains flap and pocket55cm X 85cm (H x W)Pocket size: 29cm X 20cm (H x W) AP401S - Lady on the RIGHT AP401L - Lady on the LEFT AP403B - Man in the MIDDLE,published,https://www.ramo.com.au/persistent/catalogue_images/products/AP401S_Red.jpg,,,,,,,,,true,,,,,https://www.ramo.com.au/persistent/catalogue_images/products/AP401S_Red.jpg,https://www.ramo.com.au/persistent/catalogue_images/products/AP401S_1.jpg,false,,sc_01KP7ZJ51Y7PMZ5NA7NA8BAK5C,,,,,S / Red,AP401S_RE_S,,,,,true,false,AP401S_RE_S,,,,,,,Size,S,Colour,Red,,9.00,,,3,,
,ramo-short-waist-apron-100-cotton-canvas-ap401s,Ramo Short Waist Apron - 100% cotton canvas,Aprons,210 gsm 100% cotton canvas aproncontains flap and pocket55cm X 85cm (H x W)Pocket size: 29cm X 20cm (H x W) AP401S - Lady on the RIGHT AP401L - Lady on the LEFT AP403B - Man in the MIDDLE,published,https://www.ramo.com.au/persistent/catalogue_images/products/AP401S_Royal_Blue.jpg,,,,,,,,,true,,,,,https://www.ramo.com.au/persistent/catalogue_images/products/AP401S_Royal_Blue.jpg,https://www.ramo.com.au/persistent/catalogue_images/products/AP401S_1.jpg,false,,sc_01KP7ZJ51Y7PMZ5NA7NA8BAK5C,,,,,S / Royal,AP401S_RL_S,,,,,true,false,AP401S_RL_S,,,,,,,Size,S,Colour,Royal,,9.00,,,4,,
,ramo-short-waist-apron-100-cotton-canvas-ap401s,Ramo Short Waist Apron - 100% cotton canvas,Aprons,210 gsm 100% cotton canvas aproncontains flap and pocket55cm X 85cm (H x W)Pocket size: 29cm X 20cm (H x W) AP401S - Lady on the RIGHT AP401L - Lady on the LEFT AP403B - Man in the MIDDLE,published,https://www.ramo.com.au/persistent/catalogue_images/products/AP401S_White.jpg,,,,,,,,,true,,,,,https://www.ramo.com.au/persistent/catalogue_images/products/AP401S_White.jpg,https://www.ramo.com.au/persistent/catalogue_images/products/AP401S_1.jpg,false,,sc_01KP7ZJ51Y7PMZ5NA7NA8BAK5C,,,,,S / White,AP401S_WH_S,,,,,true,false,AP401S_WH_S,,,,,,,Size,S,Colour,White,,9.00,,,5,,
,ramo-long-waist-apron-100-cotton-canvas-ap402l,Ramo Long Waist Apron - 100% Cotton Canvas,Aprons,210 gsm 100% cotton canvas contains flap and pocket 83cmX85cm (H x W) pocket size - 29cm X 55 cm (H x W) AP401S - Lady on the RIGHT AP401L - Lady on the LEFT AP403B - Man in the MIDDLE,published,https://www.ramo.com.au/persistent/catalogue_images/products/ap402l_long_waist_apron_100_cotton_canvas_hero.jpg,,,,,,,,,true,,,,,https://www.ramo.com.au/persistent/catalogue_images/products/ap402l_long_waist_apron_100_cotton_canvas_hero.jpg,,false,,sc_01KP7ZJ51Y7PMZ5NA7NA8BAK5C,,,,,S / Azure,AP402L_AZ_S,,,,,true,false,AP402L_AZ_S,,,,,,,Size,S,Colour,Azure,,10.50,,,0,,
,ramo-long-waist-apron-100-cotton-canvas-ap402l,Ramo Long Waist Apron - 100% Cotton Canvas,Aprons,210 gsm 100% cotton canvas contains flap and pocket 83cmX85cm (H x W) pocket size - 29cm X 55 cm (H x W) AP401S - Lady on the RIGHT AP401L - Lady on the LEFT AP403B - Man in the MIDDLE,published,https://www.ramo.com.au/persistent/catalogue_images/products/AP402L_Black.jpg,,,,,,,,,true,,,,,https://www.ramo.com.au/persistent/catalogue_images/products/AP402L_Black.jpg,https://www.ramo.com.au/persistent/catalogue_images/products/AP402L_1.jpg,false,,sc_01KP7ZJ51Y7PMZ5NA7NA8BAK5C,,,,,S / Black,AP402L_BL_S,,,,,true,false,AP402L_BL_S,,,,,,,Size,S,Colour,Black,,10.50,,,1,,
,ramo-long-waist-apron-100-cotton-canvas-ap402l,Ramo Long Waist Apron - 100% Cotton Canvas,Aprons,210 gsm 100% cotton canvas contains flap and pocket 83cmX85cm (H x W) pocket size - 29cm X 55 cm (H x W) AP401S - Lady on the RIGHT AP401L - Lady on the LEFT AP403B - Man in the MIDDLE,published,https://www.ramo.com.au/persistent/catalogue_images/products/AP402L_Navy.jpg,,,,,,,,,true,,,,,https://www.ramo.com.au/persistent/catalogue_images/products/AP402L_Navy.jpg,https://www.ramo.com.au/persistent/catalogue_images/products/AP402L_1.jpg,false,,sc_01KP7ZJ51Y7PMZ5NA7NA8BAK5C,,,,,S / Navy,AP402L_NA_S,,,,,true,false,AP402L_NA_S,,,,,,,Size,S,Colour,Navy,,10.50,,,2,,
,ramo-long-waist-apron-100-cotton-canvas-ap402l,Ramo Long Waist Apron - 100% Cotton Canvas,Aprons,210 gsm 100% cotton canvas contains flap and pocket 83cmX85cm (H x W) pocket size - 29cm X 55 cm (H x W) AP401S - Lady on the RIGHT AP401L - Lady on the LEFT AP403B - Man in the MIDDLE,published,https://www.ramo.com.au/persistent/catalogue_images/products/AP402L_Red.jpg,,,,,,,,,true,,,,,https://www.ramo.com.au/persistent/catalogue_images/products/AP402L_Red.jpg,https://www.ramo.com.au/persistent/catalogue_images/products/AP402L_1.jpg,false,,sc_01KP7ZJ51Y7PMZ5NA7NA8BAK5C,,,,,S / Red,AP402L_RE_S,,,,,true,false,AP402L_RE_S,,,,,,,Size,S,Colour,Red,,10.50,,,3,,
