Product Id,Product Handle,Product Title,Product Subtitle,Product Description,Product Status,Product Thumbnail,Product Weight,Product Length,Product Width,Product Height,Product Origin Country,Product Material,Product Collection Id,Product Type Id,Product Discountable,Product External Id,Product Created At,Product Deleted At,Product Hs Code,Product Image 1,Product Image 2,Product Is Giftcard,Product Mid Code,Product Sales Channel 1,Product Tag 1,Product Tag 2,Product Updated At,Variant Id,Variant Title,Variant Sku,Variant Upc,Variant Ean,Variant Hs Code,Variant Mid Code,Variant Manage Inventory,Variant Allow Backorder,Variant Barcode,Variant Created At,Variant Deleted At,Variant Height,Variant Length,Variant Material,Variant Metadata,Variant Option 1 Name,Variant Option 1 Value,Variant Option 2 Name,Variant Option 2 Value,Variant Origin Country,Variant Price AUD,Variant Product Id,Variant Updated At,Variant Variant Rank,Variant Weight,Variant Width
,as-colour-supply-hood-5101,AS Colour Supply Hood 5101,,"<p><span>Elevate your casual wardrobe with the AS Colour Supply Hood. This essential hoodie offers a regular fit with a mid-weight feel, crafted from 80% cotton and 20% polyester anti-pill fleece. It includes a cozy hood, ribbed cuffs, and a tear-out label for added comfort and style.</span><span><br /></span></p>",published,https://cdn11.bigcommerce.com/s-lqiq2tqil5/products/356/images/21072/5101_SUPPLY_HOOD_ECRU__01503.1753047329.386.513.jpg?c=1,,,,,CN,"80% Cotton, 20% Polyester",,,true,,,,6109.10.00.10,https://cdn11.bigcommerce.com/s-lqiq2tqil5/products/356/images/21072/5101_SUPPLY_HOOD_ECRU__01503.1753047329.386.513.jpg?c=1,https://cdn11.bigcommerce.com/s-lqiq2tqil5/products/356/images/21076/5101_SUPPLY_HOOD_ECRU_BACK__28194.1753047329.386.513.jpg?c=1,false,,sc_01KP7ZJ51Y7PMZ5NA7NA8BAK5C,,,,,2XL / Ecru,5101-ECRU-K-2XL,,,6109.10.00.10,,true,false,,,,,,,,Size,2XL,Colour,Ecru,CN,87,,,39,,
,as-colour-supply-hood-5101,AS Colour Supply Hood 5101,,"<p><span>Elevate your casual wardrobe with the AS Colour Supply Hood. This essential hoodie offers a regular fit with a mid-weight feel, crafted from 80% cotton and 20% polyester anti-pill fleece. It includes a cozy hood, ribbed cuffs, and a tear-out label for added comfort and style.</span><span><br /></span></p>",published,https://cdn11.bigcommerce.com/s-lqiq2tqil5/products/356/images/21072/5101_SUPPLY_HOOD_ECRU__01503.1753047329.386.513.jpg?c=1,,,,,CN,"80% Cotton, 20% Polyester",,,true,,,,6109.10.00.10,https://cdn11.bigcommerce.com/s-lqiq2tqil5/products/356/images/21072/5101_SUPPLY_HOOD_ECRU__01503.1753047329.386.513.jpg?c=1,https://cdn11.bigcommerce.com/s-lqiq2tqil5/products/356/images/21076/5101_SUPPLY_HOOD_ECRU_BACK__28194.1753047329.386.513.jpg?c=1,false,,sc_01KP7ZJ51Y7PMZ5NA7NA8BAK5C,,,,,3XL / Ecru,5101-ECRU-L-3XL,,,6109.10.00.10,,true,false,,,,,,,,Size,3XL,Colour,Ecru,CN,87,,,40,,
,as-colour-supply-hood-5101,AS Colour Supply Hood 5101,,"<p><span>Elevate your casual wardrobe with the AS Colour Supply Hood. This essential hoodie offers a regular fit with a mid-weight feel, crafted from 80% cotton and 20% polyester anti-pill fleece. It includes a cozy hood, ribbed cuffs, and a tear-out label for added comfort and style.</span><span><br /></span></p>",published,https://cdn11.bigcommerce.com/s-lqiq2tqil5/products/356/images/21072/5101_SUPPLY_HOOD_ECRU__01503.1753047329.386.513.jpg?c=1,,,,,CN,"80% Cotton, 20% Polyester",,,true,,,,6109.10.00.10,https://cdn11.bigcommerce.com/s-lqiq2tqil5/products/356/images/21072/5101_SUPPLY_HOOD_ECRU__01503.1753047329.386.513.jpg?c=1,https://cdn11.bigcommerce.com/s-lqiq2tqil5/products/356/images/21076/5101_SUPPLY_HOOD_ECRU_BACK__28194.1753047329.386.513.jpg?c=1,false,,sc_01KP7ZJ51Y7PMZ5NA7NA8BAK5C,,,,,4XL / Ecru,5101-ECRU-M-4XL,,,6109.10.00.10,,true,false,,,,,,,,Size,4XL,Colour,Ecru,CN,87,,,41,,
,as-colour-supply-hood-5101,AS Colour Supply Hood 5101,,"<p><span>Elevate your casual wardrobe with the AS Colour Supply Hood. This essential hoodie offers a regular fit with a mid-weight feel, crafted from 80% cotton and 20% polyester anti-pill fleece. It includes a cozy hood, ribbed cuffs, and a tear-out label for added comfort and style.</span><span><br /></span></p>",published,https://cdn11.bigcommerce.com/s-lqiq2tqil5/products/356/images/21072/5101_SUPPLY_HOOD_ECRU__01503.1753047329.386.513.jpg?c=1,,,,,CN,"80% Cotton, 20% Polyester",,,true,,,,6109.10.00.10,https://cdn11.bigcommerce.com/s-lqiq2tqil5/products/356/images/21072/5101_SUPPLY_HOOD_ECRU__01503.1753047329.386.513.jpg?c=1,https://cdn11.bigcommerce.com/s-lqiq2tqil5/products/356/images/21076/5101_SUPPLY_HOOD_ECRU_BACK__28194.1753047329.386.513.jpg?c=1,false,,sc_01KP7ZJ51Y7PMZ5NA7NA8BAK5C,,,,,5XL / Ecru,5101-ECRU-N-5XL,,,6109.10.00.10,,true,false,,,,,,,,Size,5XL,Colour,Ecru,CN,87,,,42,,
,as-colour-supply-hood-5101,AS Colour Supply Hood 5101,,"<p><span>Elevate your casual wardrobe with the AS Colour Supply Hood. This essential hoodie offers a regular fit with a mid-weight feel, crafted from 80% cotton and 20% polyester anti-pill fleece. It includes a cozy hood, ribbed cuffs, and a tear-out label for added comfort and style.</span><span><br /></span></p>",published,https://cdn11.bigcommerce.com/s-lqiq2tqil5/products/356/images/21072/5101_SUPPLY_HOOD_ECRU__01503.1753047329.386.513.jpg?c=1,,,,,CN,"80% Cotton, 20% Polyester",,,true,,,,6109.10.00.10,https://cdn11.bigcommerce.com/s-lqiq2tqil5/products/356/images/21072/5101_SUPPLY_HOOD_ECRU__01503.1753047329.386.513.jpg?c=1,https://cdn11.bigcommerce.com/s-lqiq2tqil5/products/356/images/21076/5101_SUPPLY_HOOD_ECRU_BACK__28194.1753047329.386.513.jpg?c=1,false,,sc_01KP7ZJ51Y7PMZ5NA7NA8BAK5C,,,,,L / Ecru,5101-ECRU-I-L,,,6109.10.00.10,,true,false,,,,,,,,Size,L,Colour,Ecru,CN,87,,,43,,
,as-colour-supply-hood-5101,AS Colour Supply Hood 5101,,"<p><span>Elevate your casual wardrobe with the AS Colour Supply Hood. This essential hoodie offers a regular fit with a mid-weight feel, crafted from 80% cotton and 20% polyester anti-pill fleece. It includes a cozy hood, ribbed cuffs, and a tear-out label for added comfort and style.</span><span><br /></span></p>",published,https://cdn11.bigcommerce.com/s-lqiq2tqil5/products/356/images/21072/5101_SUPPLY_HOOD_ECRU__01503.1753047329.386.513.jpg?c=1,,,,,CN,"80% Cotton, 20% Polyester",,,true,,,,6109.10.00.10,https://cdn11.bigcommerce.com/s-lqiq2tqil5/products/356/images/21072/5101_SUPPLY_HOOD_ECRU__01503.1753047329.386.513.jpg?c=1,https://cdn11.bigcommerce.com/s-lqiq2tqil5/products/356/images/21076/5101_SUPPLY_HOOD_ECRU_BACK__28194.1753047329.386.513.jpg?c=1,false,,sc_01KP7ZJ51Y7PMZ5NA7NA8BAK5C,,,,,M / Ecru,5101-ECRU-H-M,,,6109.10.00.10,,true,false,,,,,,,,Size,M,Colour,Ecru,CN,87,,,44,,
,as-colour-supply-hood-5101,AS Colour Supply Hood 5101,,"<p><span>Elevate your casual wardrobe with the AS Colour Supply Hood. This essential hoodie offers a regular fit with a mid-weight feel, crafted from 80% cotton and 20% polyester anti-pill fleece. It includes a cozy hood, ribbed cuffs, and a tear-out label for added comfort and style.</span><span><br /></span></p>",published,https://cdn11.bigcommerce.com/s-lqiq2tqil5/products/356/images/21072/5101_SUPPLY_HOOD_ECRU__01503.1753047329.386.513.jpg?c=1,,,,,CN,"80% Cotton, 20% Polyester",,,true,,,,6109.10.00.10,https://cdn11.bigcommerce.com/s-lqiq2tqil5/products/356/images/21072/5101_SUPPLY_HOOD_ECRU__01503.1753047329.386.513.jpg?c=1,https://cdn11.bigcommerce.com/s-lqiq2tqil5/products/356/images/21076/5101_SUPPLY_HOOD_ECRU_BACK__28194.1753047329.386.513.jpg?c=1,false,,sc_01KP7ZJ51Y7PMZ5NA7NA8BAK5C,,,,,S / Ecru,5101-ECRU-G-S,,,6109.10.00.10,,true,false,,,,,,,,Size,S,Colour,Ecru,CN,87,,,45,,
,as-colour-supply-hood-5101,AS Colour Supply Hood 5101,,"<p><span>Elevate your casual wardrobe with the AS Colour Supply Hood. This essential hoodie offers a regular fit with a mid-weight feel, crafted from 80% cotton and 20% polyester anti-pill fleece. It includes a cozy hood, ribbed cuffs, and a tear-out label for added comfort and style.</span><span><br /></span></p>",published,https://cdn11.bigcommerce.com/s-lqiq2tqil5/products/356/images/21072/5101_SUPPLY_HOOD_ECRU__01503.1753047329.386.513.jpg?c=1,,,,,CN,"80% Cotton, 20% Polyester",,,true,,,,6109.10.00.10,https://cdn11.bigcommerce.com/s-lqiq2tqil5/products/356/images/21072/5101_SUPPLY_HOOD_ECRU__01503.1753047329.386.513.jpg?c=1,https://cdn11.bigcommerce.com/s-lqiq2tqil5/products/356/images/21076/5101_SUPPLY_HOOD_ECRU_BACK__28194.1753047329.386.513.jpg?c=1,false,,sc_01KP7ZJ51Y7PMZ5NA7NA8BAK5C,,,,,XL / Ecru,5101-ECRU-J-XL,,,6109.10.00.10,,true,false,,,,,,,,Size,XL,Colour,Ecru,CN,87,,,46,,
,as-colour-supply-hood-5101,AS Colour Supply Hood 5101,,"<p><span>Elevate your casual wardrobe with the AS Colour Supply Hood. This essential hoodie offers a regular fit with a mid-weight feel, crafted from 80% cotton and 20% polyester anti-pill fleece. It includes a cozy hood, ribbed cuffs, and a tear-out label for added comfort and style.</span><span><br /></span></p>",published,https://cdn11.bigcommerce.com/s-lqiq2tqil5/products/356/images/21072/5101_SUPPLY_HOOD_ECRU__01503.1753047329.386.513.jpg?c=1,,,,,CN,"80% Cotton, 20% Polyester",,,true,,,,6109.10.00.10,https://cdn11.bigcommerce.com/s-lqiq2tqil5/products/356/images/21072/5101_SUPPLY_HOOD_ECRU__01503.1753047329.386.513.jpg?c=1,https://cdn11.bigcommerce.com/s-lqiq2tqil5/products/356/images/21076/5101_SUPPLY_HOOD_ECRU_BACK__28194.1753047329.386.513.jpg?c=1,false,,sc_01KP7ZJ51Y7PMZ5NA7NA8BAK5C,,,,,XS / Ecru,5101-ECRU-F-XS,,,6109.10.00.10,,true,false,,,,,,,,Size,XS,Colour,Ecru,CN,87,,,47,,
,as-colour-supply-hood-5101,AS Colour Supply Hood 5101,,"<p><span>Elevate your casual wardrobe with the AS Colour Supply Hood. This essential hoodie offers a regular fit with a mid-weight feel, crafted from 80% cotton and 20% polyester anti-pill fleece. It includes a cozy hood, ribbed cuffs, and a tear-out label for added comfort and style.</span><span><br /></span></p>",published,https://cdn11.bigcommerce.com/s-lqiq2tqil5/products/356/images/20102/5101_SUPPLY_HOOD_FOREST_GREEN__73589.1753047329.386.513.jpg?c=1,,,,,CN,"80% Cotton, 20% Polyester",,,true,,,,6109.10.00.10,https://cdn11.bigcommerce.com/s-lqiq2tqil5/products/356/images/20102/5101_SUPPLY_HOOD_FOREST_GREEN__73589.1753047329.386.513.jpg?c=1,https://cdn11.bigcommerce.com/s-lqiq2tqil5/products/356/images/20101/5101_SUPPLY_HOOD_FOREST_GREEN_BACK__59528.1753047329.386.513.jpg?c=1,false,,sc_01KP7ZJ51Y7PMZ5NA7NA8BAK5C,,,,,2XL / Forest Green,5101-FORES-K-2XL,,,6109.10.00.10,,true,false,,,,,,,,Size,2XL,Colour,Forest Green,CN,87,,,48,,
