sku,style_code,colour,size,front_filename,back_filename,local_front,local_back,cdn_front,cdn_back
9401042315892,ZC503,Charcoal,92,ZC503_aTalent_Charcoal_01_QJKwkQt.jpg,ZC503_bProduct_Charcoal_01_YEVdUa6.jpg,/Users/seanmudie/Downloads/Syzmik/04 Overalls/ZC503/ZC503_Talent_Charcoal_01.jpg,/Users/seanmudie/Downloads/Syzmik/04 Overalls/ZC503/ZC503_Product_Charcoal_01.jpg,https://cdn.fashionbizapps.nz/honeybee/images/ZC503_aTalent_Charcoal_01_QJKwkQt.jpg,https://cdn.fashionbizapps.nz/honeybee/images/ZC503_bProduct_Charcoal_01_YEVdUa6.jpg
9401042315908,ZC503,Charcoal,97,ZC503_aTalent_Charcoal_01_QJKwkQt.jpg,ZC503_bProduct_Charcoal_01_YEVdUa6.jpg,/Users/seanmudie/Downloads/Syzmik/04 Overalls/ZC503/ZC503_Talent_Charcoal_01.jpg,/Users/seanmudie/Downloads/Syzmik/04 Overalls/ZC503/ZC503_Product_Charcoal_01.jpg,https://cdn.fashionbizapps.nz/honeybee/images/ZC503_aTalent_Charcoal_01_QJKwkQt.jpg,https://cdn.fashionbizapps.nz/honeybee/images/ZC503_bProduct_Charcoal_01_YEVdUa6.jpg
9401042480446,ZC525,Orange/Navy,102,ZC525_bProduct_Orange_Navy_01_K6PFKiu.jpg,ZC525_bProduct_Orange_Navy_02_gzVfAgB.jpg,/Users/seanmudie/Downloads/Syzmik/05 Fire Armour - AU and NZ/ZC525/ZC525_Product_Orange_Navy_01.jpg,/Users/seanmudie/Downloads/Syzmik/05 Fire Armour - AU and NZ/ZC525/ZC525_Product_Orange_Navy_02.jpg,https://cdn.fashionbizapps.nz/honeybee/images/ZC525_bProduct_Orange_Navy_01_K6PFKiu.jpg,https://cdn.fashionbizapps.nz/honeybee/images/ZC525_bProduct_Orange_Navy_02_gzVfAgB.jpg
9401042480453,ZC525,Orange/Navy,107,ZC525_bProduct_Orange_Navy_01_K6PFKiu.jpg,ZC525_bProduct_Orange_Navy_02_gzVfAgB.jpg,/Users/seanmudie/Downloads/Syzmik/05 Fire Armour - AU and NZ/ZC525/ZC525_Product_Orange_Navy_01.jpg,/Users/seanmudie/Downloads/Syzmik/05 Fire Armour - AU and NZ/ZC525/ZC525_Product_Orange_Navy_02.jpg,https://cdn.fashionbizapps.nz/honeybee/images/ZC525_bProduct_Orange_Navy_01_K6PFKiu.jpg,https://cdn.fashionbizapps.nz/honeybee/images/ZC525_bProduct_Orange_Navy_02_gzVfAgB.jpg
9401042480460,ZC525,Orange/Navy,112,ZC525_bProduct_Orange_Navy_01_K6PFKiu.jpg,ZC525_bProduct_Orange_Navy_02_gzVfAgB.jpg,/Users/seanmudie/Downloads/Syzmik/05 Fire Armour - AU and NZ/ZC525/ZC525_Product_Orange_Navy_01.jpg,/Users/seanmudie/Downloads/Syzmik/05 Fire Armour - AU and NZ/ZC525/ZC525_Product_Orange_Navy_02.jpg,https://cdn.fashionbizapps.nz/honeybee/images/ZC525_bProduct_Orange_Navy_01_K6PFKiu.jpg,https://cdn.fashionbizapps.nz/honeybee/images/ZC525_bProduct_Orange_Navy_02_gzVfAgB.jpg
9401042480477,ZC525,Orange/Navy,117,ZC525_bProduct_Orange_Navy_01_K6PFKiu.jpg,ZC525_bProduct_Orange_Navy_02_gzVfAgB.jpg,/Users/seanmudie/Downloads/Syzmik/05 Fire Armour - AU and NZ/ZC525/ZC525_Product_Orange_Navy_01.jpg,/Users/seanmudie/Downloads/Syzmik/05 Fire Armour - AU and NZ/ZC525/ZC525_Product_Orange_Navy_02.jpg,https://cdn.fashionbizapps.nz/honeybee/images/ZC525_bProduct_Orange_Navy_01_K6PFKiu.jpg,https://cdn.fashionbizapps.nz/honeybee/images/ZC525_bProduct_Orange_Navy_02_gzVfAgB.jpg
9401042480484,ZC525,Orange/Navy,122,ZC525_bProduct_Orange_Navy_01_K6PFKiu.jpg,ZC525_bProduct_Orange_Navy_02_gzVfAgB.jpg,/Users/seanmudie/Downloads/Syzmik/05 Fire Armour - AU and NZ/ZC525/ZC525_Product_Orange_Navy_01.jpg,/Users/seanmudie/Downloads/Syzmik/05 Fire Armour - AU and NZ/ZC525/ZC525_Product_Orange_Navy_02.jpg,https://cdn.fashionbizapps.nz/honeybee/images/ZC525_bProduct_Orange_Navy_01_K6PFKiu.jpg,https://cdn.fashionbizapps.nz/honeybee/images/ZC525_bProduct_Orange_Navy_02_gzVfAgB.jpg
9401042480491,ZC525,Orange/Navy,77,ZC525_bProduct_Orange_Navy_01_K6PFKiu.jpg,ZC525_bProduct_Orange_Navy_02_gzVfAgB.jpg,/Users/seanmudie/Downloads/Syzmik/05 Fire Armour - AU and NZ/ZC525/ZC525_Product_Orange_Navy_01.jpg,/Users/seanmudie/Downloads/Syzmik/05 Fire Armour - AU and NZ/ZC525/ZC525_Product_Orange_Navy_02.jpg,https://cdn.fashionbizapps.nz/honeybee/images/ZC525_bProduct_Orange_Navy_01_K6PFKiu.jpg,https://cdn.fashionbizapps.nz/honeybee/images/ZC525_bProduct_Orange_Navy_02_gzVfAgB.jpg
9401042480507,ZC525,Orange/Navy,82,ZC525_bProduct_Orange_Navy_01_K6PFKiu.jpg,ZC525_bProduct_Orange_Navy_02_gzVfAgB.jpg,/Users/seanmudie/Downloads/Syzmik/05 Fire Armour - AU and NZ/ZC525/ZC525_Product_Orange_Navy_01.jpg,/Users/seanmudie/Downloads/Syzmik/05 Fire Armour - AU and NZ/ZC525/ZC525_Product_Orange_Navy_02.jpg,https://cdn.fashionbizapps.nz/honeybee/images/ZC525_bProduct_Orange_Navy_01_K6PFKiu.jpg,https://cdn.fashionbizapps.nz/honeybee/images/ZC525_bProduct_Orange_Navy_02_gzVfAgB.jpg
9401042480514,ZC525,Orange/Navy,87,ZC525_bProduct_Orange_Navy_01_K6PFKiu.jpg,ZC525_bProduct_Orange_Navy_02_gzVfAgB.jpg,/Users/seanmudie/Downloads/Syzmik/05 Fire Armour - AU and NZ/ZC525/ZC525_Product_Orange_Navy_01.jpg,/Users/seanmudie/Downloads/Syzmik/05 Fire Armour - AU and NZ/ZC525/ZC525_Product_Orange_Navy_02.jpg,https://cdn.fashionbizapps.nz/honeybee/images/ZC525_bProduct_Orange_Navy_01_K6PFKiu.jpg,https://cdn.fashionbizapps.nz/honeybee/images/ZC525_bProduct_Orange_Navy_02_gzVfAgB.jpg
