Product Id,Product Handle,Product Title,Product Subtitle,Product Description,Product Status,Product Thumbnail,Product Weight,Product Length,Product Width,Product Height,Product Origin Country,Product Material,Product Collection Id,Product Type Id,Product Discountable,Product External Id,Product Created At,Product Deleted At,Product Hs Code,Product Image 1,Product Image 2,Product Is Giftcard,Product Mid Code,Product Sales Channel 1,Product Tag 1,Product Tag 2,Product Updated At,Variant Id,Variant Title,Variant Sku,Variant Upc,Variant Ean,Variant Hs Code,Variant Mid Code,Variant Manage Inventory,Variant Allow Backorder,Variant Barcode,Variant Created At,Variant Deleted At,Variant Height,Variant Length,Variant Material,Variant Metadata,Variant Option 1 Name,Variant Option 1 Value,Variant Option 2 Name,Variant Option 2 Value,Variant Origin Country,Variant Price AUD,Variant Product Id,Variant Updated At,Variant Variant Rank,Variant Weight,Variant Width
,syzmik-mens-streetworx-stretch-pant-cuffed-zp340,Syzmik Mens Streetworx Stretch Pant - Cuffed ZP340,,"Sizes: 72R - 127R; Fabric: 97% Cotton, 3% Spandex, 260 GSM; Panel: 94% Polyester, 6% Spandex; Features: Contrast 4-way stretch panel at back of knee and in crotch to increase movement and durability, Soft stretch cotton provides increased freedom of movement and comfort, Lightweight fabric to keep you cool, Unique stretch pleating across the back waist, front pockets and above knee, Modern slim fit with elastic cuff hem, 2 Large pockets with black bonded zips and Syzmik rubber zipper heads, 1 Ruler pocket, 2 Back hip pockets with quick tape closures, 2 Side waist pockets, Reinforced button attachment, Reflective print on waistband;",published,https://cdn.fashionbizapps.nz/honeybee/images/ZP340_bProduct_Black_01_6coqLsW.jpg,,,,,,"97% Cotton, 3% Spandex, 260 GSM",,,true,,,,,https://cdn.fashionbizapps.nz/honeybee/images/ZP340_bProduct_Black_01_6coqLsW.jpg,,false,,sc_01KP7ZJ51Y7PMZ5NA7NA8BAK5C,all,,,,102 / Black,9401042397409,,,,,true,false,9401042397409,,,,,,,Size,102,Colour,Black,,47.95,,,0,,
,syzmik-mens-streetworx-stretch-pant-cuffed-zp340,Syzmik Mens Streetworx Stretch Pant - Cuffed ZP340,,"Sizes: 72R - 127R; Fabric: 97% Cotton, 3% Spandex, 260 GSM; Panel: 94% Polyester, 6% Spandex; Features: Contrast 4-way stretch panel at back of knee and in crotch to increase movement and durability, Soft stretch cotton provides increased freedom of movement and comfort, Lightweight fabric to keep you cool, Unique stretch pleating across the back waist, front pockets and above knee, Modern slim fit with elastic cuff hem, 2 Large pockets with black bonded zips and Syzmik rubber zipper heads, 1 Ruler pocket, 2 Back hip pockets with quick tape closures, 2 Side waist pockets, Reinforced button attachment, Reflective print on waistband;",published,https://cdn.fashionbizapps.nz/honeybee/images/ZP340_bProduct_Black_01_6coqLsW.jpg,,,,,,"97% Cotton, 3% Spandex, 260 GSM",,,true,,,,,https://cdn.fashionbizapps.nz/honeybee/images/ZP340_bProduct_Black_01_6coqLsW.jpg,,false,,sc_01KP7ZJ51Y7PMZ5NA7NA8BAK5C,all,,,,107 / Black,9401042397416,,,,,true,false,9401042397416,,,,,,,Size,107,Colour,Black,,47.95,,,1,,
,syzmik-mens-streetworx-stretch-pant-cuffed-zp340,Syzmik Mens Streetworx Stretch Pant - Cuffed ZP340,,"Sizes: 72R - 127R; Fabric: 97% Cotton, 3% Spandex, 260 GSM; Panel: 94% Polyester, 6% Spandex; Features: Contrast 4-way stretch panel at back of knee and in crotch to increase movement and durability, Soft stretch cotton provides increased freedom of movement and comfort, Lightweight fabric to keep you cool, Unique stretch pleating across the back waist, front pockets and above knee, Modern slim fit with elastic cuff hem, 2 Large pockets with black bonded zips and Syzmik rubber zipper heads, 1 Ruler pocket, 2 Back hip pockets with quick tape closures, 2 Side waist pockets, Reinforced button attachment, Reflective print on waistband;",published,https://cdn.fashionbizapps.nz/honeybee/images/ZP340_bProduct_Black_01_6coqLsW.jpg,,,,,,"97% Cotton, 3% Spandex, 260 GSM",,,true,,,,,https://cdn.fashionbizapps.nz/honeybee/images/ZP340_bProduct_Black_01_6coqLsW.jpg,,false,,sc_01KP7ZJ51Y7PMZ5NA7NA8BAK5C,all,,,,112 / Black,9401042397423,,,,,true,false,9401042397423,,,,,,,Size,112,Colour,Black,,47.95,,,2,,
,syzmik-mens-streetworx-stretch-pant-cuffed-zp340,Syzmik Mens Streetworx Stretch Pant - Cuffed ZP340,,"Sizes: 72R - 127R; Fabric: 97% Cotton, 3% Spandex, 260 GSM; Panel: 94% Polyester, 6% Spandex; Features: Contrast 4-way stretch panel at back of knee and in crotch to increase movement and durability, Soft stretch cotton provides increased freedom of movement and comfort, Lightweight fabric to keep you cool, Unique stretch pleating across the back waist, front pockets and above knee, Modern slim fit with elastic cuff hem, 2 Large pockets with black bonded zips and Syzmik rubber zipper heads, 1 Ruler pocket, 2 Back hip pockets with quick tape closures, 2 Side waist pockets, Reinforced button attachment, Reflective print on waistband;",published,https://cdn.fashionbizapps.nz/honeybee/images/ZP340_bProduct_Black_01_6coqLsW.jpg,,,,,,"97% Cotton, 3% Spandex, 260 GSM",,,true,,,,,https://cdn.fashionbizapps.nz/honeybee/images/ZP340_bProduct_Black_01_6coqLsW.jpg,,false,,sc_01KP7ZJ51Y7PMZ5NA7NA8BAK5C,all,,,,117 / Black,9401042397430,,,,,true,false,9401042397430,,,,,,,Size,117,Colour,Black,,47.95,,,3,,
,syzmik-mens-streetworx-stretch-pant-cuffed-zp340,Syzmik Mens Streetworx Stretch Pant - Cuffed ZP340,,"Sizes: 72R - 127R; Fabric: 97% Cotton, 3% Spandex, 260 GSM; Panel: 94% Polyester, 6% Spandex; Features: Contrast 4-way stretch panel at back of knee and in crotch to increase movement and durability, Soft stretch cotton provides increased freedom of movement and comfort, Lightweight fabric to keep you cool, Unique stretch pleating across the back waist, front pockets and above knee, Modern slim fit with elastic cuff hem, 2 Large pockets with black bonded zips and Syzmik rubber zipper heads, 1 Ruler pocket, 2 Back hip pockets with quick tape closures, 2 Side waist pockets, Reinforced button attachment, Reflective print on waistband;",published,https://cdn.fashionbizapps.nz/honeybee/images/ZP340_bProduct_Black_01_6coqLsW.jpg,,,,,,"97% Cotton, 3% Spandex, 260 GSM",,,true,,,,,https://cdn.fashionbizapps.nz/honeybee/images/ZP340_bProduct_Black_01_6coqLsW.jpg,,false,,sc_01KP7ZJ51Y7PMZ5NA7NA8BAK5C,all,,,,122 / Black,9401042397447,,,,,true,false,9401042397447,,,,,,,Size,122,Colour,Black,,47.95,,,4,,
,syzmik-mens-streetworx-stretch-pant-cuffed-zp340,Syzmik Mens Streetworx Stretch Pant - Cuffed ZP340,,"Sizes: 72R - 127R; Fabric: 97% Cotton, 3% Spandex, 260 GSM; Panel: 94% Polyester, 6% Spandex; Features: Contrast 4-way stretch panel at back of knee and in crotch to increase movement and durability, Soft stretch cotton provides increased freedom of movement and comfort, Lightweight fabric to keep you cool, Unique stretch pleating across the back waist, front pockets and above knee, Modern slim fit with elastic cuff hem, 2 Large pockets with black bonded zips and Syzmik rubber zipper heads, 1 Ruler pocket, 2 Back hip pockets with quick tape closures, 2 Side waist pockets, Reinforced button attachment, Reflective print on waistband;",published,https://cdn.fashionbizapps.nz/honeybee/images/ZP340_bProduct_Black_01_6coqLsW.jpg,,,,,,"97% Cotton, 3% Spandex, 260 GSM",,,true,,,,,https://cdn.fashionbizapps.nz/honeybee/images/ZP340_bProduct_Black_01_6coqLsW.jpg,,false,,sc_01KP7ZJ51Y7PMZ5NA7NA8BAK5C,all,,,,127 / Black,9401042397454,,,,,true,false,9401042397454,,,,,,,Size,127,Colour,Black,,47.95,,,5,,
,syzmik-mens-streetworx-stretch-pant-cuffed-zp340,Syzmik Mens Streetworx Stretch Pant - Cuffed ZP340,,"Sizes: 72R - 127R; Fabric: 97% Cotton, 3% Spandex, 260 GSM; Panel: 94% Polyester, 6% Spandex; Features: Contrast 4-way stretch panel at back of knee and in crotch to increase movement and durability, Soft stretch cotton provides increased freedom of movement and comfort, Lightweight fabric to keep you cool, Unique stretch pleating across the back waist, front pockets and above knee, Modern slim fit with elastic cuff hem, 2 Large pockets with black bonded zips and Syzmik rubber zipper heads, 1 Ruler pocket, 2 Back hip pockets with quick tape closures, 2 Side waist pockets, Reinforced button attachment, Reflective print on waistband;",published,https://cdn.fashionbizapps.nz/honeybee/images/ZP340_bProduct_Black_01_6coqLsW.jpg,,,,,,"97% Cotton, 3% Spandex, 260 GSM",,,true,,,,,https://cdn.fashionbizapps.nz/honeybee/images/ZP340_bProduct_Black_01_6coqLsW.jpg,,false,,sc_01KP7ZJ51Y7PMZ5NA7NA8BAK5C,all,,,,72 / Black,9401042397461,,,,,true,false,9401042397461,,,,,,,Size,72,Colour,Black,,47.95,,,6,,
,syzmik-mens-streetworx-stretch-pant-cuffed-zp340,Syzmik Mens Streetworx Stretch Pant - Cuffed ZP340,,"Sizes: 72R - 127R; Fabric: 97% Cotton, 3% Spandex, 260 GSM; Panel: 94% Polyester, 6% Spandex; Features: Contrast 4-way stretch panel at back of knee and in crotch to increase movement and durability, Soft stretch cotton provides increased freedom of movement and comfort, Lightweight fabric to keep you cool, Unique stretch pleating across the back waist, front pockets and above knee, Modern slim fit with elastic cuff hem, 2 Large pockets with black bonded zips and Syzmik rubber zipper heads, 1 Ruler pocket, 2 Back hip pockets with quick tape closures, 2 Side waist pockets, Reinforced button attachment, Reflective print on waistband;",published,https://cdn.fashionbizapps.nz/honeybee/images/ZP340_bProduct_Black_01_6coqLsW.jpg,,,,,,"97% Cotton, 3% Spandex, 260 GSM",,,true,,,,,https://cdn.fashionbizapps.nz/honeybee/images/ZP340_bProduct_Black_01_6coqLsW.jpg,,false,,sc_01KP7ZJ51Y7PMZ5NA7NA8BAK5C,all,,,,77 / Black,9401042397478,,,,,true,false,9401042397478,,,,,,,Size,77,Colour,Black,,47.95,,,7,,
,syzmik-mens-streetworx-stretch-pant-cuffed-zp340,Syzmik Mens Streetworx Stretch Pant - Cuffed ZP340,,"Sizes: 72R - 127R; Fabric: 97% Cotton, 3% Spandex, 260 GSM; Panel: 94% Polyester, 6% Spandex; Features: Contrast 4-way stretch panel at back of knee and in crotch to increase movement and durability, Soft stretch cotton provides increased freedom of movement and comfort, Lightweight fabric to keep you cool, Unique stretch pleating across the back waist, front pockets and above knee, Modern slim fit with elastic cuff hem, 2 Large pockets with black bonded zips and Syzmik rubber zipper heads, 1 Ruler pocket, 2 Back hip pockets with quick tape closures, 2 Side waist pockets, Reinforced button attachment, Reflective print on waistband;",published,https://cdn.fashionbizapps.nz/honeybee/images/ZP340_bProduct_Black_01_6coqLsW.jpg,,,,,,"97% Cotton, 3% Spandex, 260 GSM",,,true,,,,,https://cdn.fashionbizapps.nz/honeybee/images/ZP340_bProduct_Black_01_6coqLsW.jpg,,false,,sc_01KP7ZJ51Y7PMZ5NA7NA8BAK5C,all,,,,82 / Black,9401042397485,,,,,true,false,9401042397485,,,,,,,Size,82,Colour,Black,,47.95,,,8,,
,syzmik-mens-streetworx-stretch-pant-cuffed-zp340,Syzmik Mens Streetworx Stretch Pant - Cuffed ZP340,,"Sizes: 72R - 127R; Fabric: 97% Cotton, 3% Spandex, 260 GSM; Panel: 94% Polyester, 6% Spandex; Features: Contrast 4-way stretch panel at back of knee and in crotch to increase movement and durability, Soft stretch cotton provides increased freedom of movement and comfort, Lightweight fabric to keep you cool, Unique stretch pleating across the back waist, front pockets and above knee, Modern slim fit with elastic cuff hem, 2 Large pockets with black bonded zips and Syzmik rubber zipper heads, 1 Ruler pocket, 2 Back hip pockets with quick tape closures, 2 Side waist pockets, Reinforced button attachment, Reflective print on waistband;",published,https://cdn.fashionbizapps.nz/honeybee/images/ZP340_bProduct_Black_01_6coqLsW.jpg,,,,,,"97% Cotton, 3% Spandex, 260 GSM",,,true,,,,,https://cdn.fashionbizapps.nz/honeybee/images/ZP340_bProduct_Black_01_6coqLsW.jpg,,false,,sc_01KP7ZJ51Y7PMZ5NA7NA8BAK5C,all,,,,87 / Black,9401042397492,,,,,true,false,9401042397492,,,,,,,Size,87,Colour,Black,,47.95,,,9,,
