customerGroupId,STYLECODE,PRODUCT_NAME,COMPOSITION,FABRIC,SIZE_RANGE,COLOURS_COUNT,SHORT_DESCRIPTION,BOX_QTY,PRICE,CATEGORY,CATEGORY_SORT,Product URL
3,1114F,Surf Safety Cap,100% Recycled Nylon,,,,Unstructured - Flat Peak,72,6.75,CAPS/HATS,30300,
3,1115,Knit Beanie,50% Wool  50% Acrylic,,,,Fitted Style,100,9.75,BEANIES,30500,
3,1117,Bucket Hat,100% Cotton,,,,100% Cotton,48,7.75,CAPS/HATS,30300,
3,1117C,Camo Bucket Hat,100% Cotton,,,,100% Cotton,48,7.95,CAPS/HATS,30300,
3,1119,Surf Cotton Cap,100% Cotton Twill,,,,Unstructured - Flat Peak,72,6.75,CAPS/HATS,30300,
3,1119C,Surf Cotton Camo Cap,55% Cotton  45% Polyester,,,,Unstructured - Flat Peak,72,6.95,CAPS/HATS,30300,
3,1120,Cable Beanie,100% Acrylic,,,,Fitted - Fisherman Style,100,7.5,BEANIES,30500,
3,1123,Surf Rope Cap,100% Nylon,,,,Unstructured - Flat Peak,72,6.75,CAPS/HATS,30300,
3,1124,Pom Pom Beanie,100% Recycled Acrylic,,,,Double Layer Knit - 100% Recycled,50,7.5,BEANIES,30500,
3,1125,Gauge Beanie,50% Recycled Wool  50% Recycled Acrylic,,,,Longer Body - 100% Recycled,70,9.75,BEANIES,30500,
3,1129,Surf Kids Cap,100% Nylon,,,,Unstructured - Flat Foam Peak,72,6.75,CAPS/HATS,30300,
3,1130,Access Cap,100% Cotton,,,,Low Profile - Curved Peak,72,6.75,CAPS/HATS,30300,
3,1131,Access Canvas Cap,100% Cotton Canvas,,,,Low Profile - Curved Peak,72,6.75,CAPS/HATS,30300,
3,1132,Access Five Panel Cap,100% Cotton,,,,Low Profile - Curved Peak,72,6.75,CAPS/HATS,30300,
3,1133,Access Active Cap,90% Nylon  10% Elastane,,,,Low Profile - Curved Peak,72,8.25,CAPS/HATS,30300,
3,1134,Access Faded Cap,100% Cotton,,,,Low Profile - Curved Peak,72,7.25,CAPS/HATS,30300,
3,1135,Access Cord Cap,100% Cotton,,,,Low Profile - Curved Peak,72,6.95,CAPS/HATS,30300,
3,1138,Wo's Access Cap,100% Cotton,,,,Low Profile - Curved Peak,72,6.75,CAPS/HATS,30300,
3,1140,Icon Cap,100% Cotton,,,,Mid Profile - Curved Peak,72,6.75,CAPS/HATS,30300,
3,1141,Icon Trucker Cap,100% Cotton Front & Peak  100% Recycled Polyester Mesh Back,,,,Mid Profile - Curved Peak,72,6.75,CAPS/HATS,30300,
3,1142,Icon Nylon Cap,100% Quick Dry Recycled Nylon,,,,Mid Profile - Curved Peak,72,6.75,CAPS/HATS,30300,
3,1143,Icon Flex Cap,97% Cotton  3% Spandex,,,,Flex Fit - Curved Peak,72,6.75,CAPS/HATS,30300,
3,1149,Icon Kids Cap,100% Cotton,,,,Mid Profile - Curved Peak,72,6.75,CAPS/HATS,30300,
3,1150,Class Cap,100% Cotton,,,,Mid Profile - Flat Peak,72,6.95,CAPS/HATS,30300,
3,1151,Class Wool Cap,50% Wool  50% Recycled Polyester,,,,Mid Profile - Flat Peak,72,7.25,CAPS/HATS,30300,
3,1152,Class Cord Cap,100% Cotton,,,,Mid Profile - Flat Peak,72,7.25,CAPS/HATS,30300,
3,1153,Class Five Panel Cap,100% Cotton,,,,Mid Profile - Flat Peak,72,6.75,CAPS/HATS,30300,
3,1154,Class TwoTone Cap,100% Cotton,,,,Mid Profile - Flat Contrast Peak,72,6.95,CAPS/HATS,30300,
3,1155,Class Performance Cap,100% Recycled Polyester,,,,Mid Profile - Flat Peak,72,6.95,CAPS/HATS,30300,
3,1156,Class Canvas Cap,100% Cotton Canvas,,,,Unstructured - Flat Peak,72,6.95,CAPS/HATS,30300,
3,1157,Class Cord Trucker Cap,100% Cotton Front & Peak  100% Recycled Polyester Mesh Back,,,,Mid Profile - Flat Peak,72,6.95,CAPS/HATS,30300,
3,1158,Class Linen Cap,100% Linen,,,,Mid Profile - Flat Peak,72,7.5,CAPS/HATS,30300,
3,1159,Class Cord TwoTone Cap,100% cotton 16-wale partridge cord,200 GSM,,,Mid Profile - Flat Peak,72,7.25,CAPS/HATS,30300,
3,1160,Frame Cap,100% Cotton,,,,High Profile - Curved Peak,72,6.75,CAPS/HATS,30300,
3,1161,Frame Foam Trucker Cap,100% Recycled Polyester,,,,High Profile - Curved Peak,72,6.5,CAPS/HATS,30300,
3,1162,Frame Nylon Cap,100% Recycled Nylon,,,,High Profile - Curved Peak,72,6.75,CAPS/HATS,30300,
3,1163,Frame Foam TwoTone Trucker,100% Polyester Foam Front & Peak  100% Recycled Polyester Mesh Back,,,,High Profile - Curved Peak,72,6.5,CAPS/HATS,30300,
3,1164,Frame Soft Cap,100% Cotton Twill,,,,High Profile - Curved Peak,72,6.5,CAPS/HATS,30300,
3,1164C,Frame Soft Camo Cap,55% Cotton  45% Polyester,,,,High Profile - Curved Peak,72,6.75,CAPS/HATS,30300,
3,1165,Frame TwoTone Cap,100% Cotton,,,,High Profile - Curved Peak,72,6.75,CAPS/HATS,30300,
3,1170,Kids Bucket Hat,100% Cotton,,,,100% Cotton,48,7.75,CAPS/HATS,30300,
3,1171,Nylon Bucket Hat,100% Recycled Nylon,,,,100% Recycled Nylon,48,8.25,CAPS/HATS,30300,
3,1172,Wide Brim Bucket Hat,100% Cotton,,,,100% cotton,48,8.25,CAPS/HATS,30300,
3,1173,Stock Canvas Cap,100% Cotton Canvas,,,,High Profile - Flat Peak,72,6.75,CAPS/HATS,30300,
3,1174,Nylon Wide Brim Bucket Hat,100% Quick Dry Recycled Nylon,,,,100% Recycled Nylon,48,8.5,CAPS/HATS,30300,
3,1175,Terry Bucket Hat,100% Cotton Terry,,,,100% Cotton Terry,48,7.75,CAPS/HATS,30300,
3,1176,Cord Bucket Hat,100% Cotton,,,,100% Cotton,48,8.25,CAPS/HATS,30300,
3,1178,Wo's Bucket Hat,100% Cotton,,,,100% Cotton,48,7.75,CAPS/HATS,30300,
3,1179,Wo's Brim Bucket Hat,100% Cotton,,,,100% Cotton,48,7.75,CAPS/HATS,30300,
3,1180,Active Finn Cap,100% Recycled Nylon Body  100% Recycled Polyester Mesh,,,,Low Profile - Flat Peak,72,6.95,CAPS/HATS,30300,
3,1181,Faded Bucket Hat,100% Cotton Twill,,,,100% Cotton,48,7.75,CAPS/HATS,30300,
3,1183,Stock Camo Cap,100% Cotton,,,,High Profile - Flat Peak,72,7.25,CAPS/HATS,30300,
3,1184,Stock 7Panel Cap,100% Cotton,,,,High Profile - Flat Peak,72,6.95,CAPS/HATS,30300,
3,1185,Class Cord Rope Cap,100% Cotton,,,,Mid Profile - Flat Peak,72,7.75,CAPS/HATS,30300,
3,1190,Mesh Trucker Cap,Main: 60% Cotton  40% Polyester. Mesh: 100% Recycled Polyester,,,,High Profile - Curved Peak,72,6.5,CAPS/HATS,30300,
3,1191,Mesh Contrast Trucker Cap,Main: 60% Cotton  40% Polyester. Mesh: 100% Recycled Polyester,,,,High Profile - Curved Peak,72,6.5,CAPS/HATS,30300,
3,1201,Boxer Briefs,95% Cotton  5% Elastane  Elastic Waistband,190 GSM,,,Form Fitting,80,8.5,UNDERWEAR,42600,
3,1202,Boxer Shorts,100% Woven Cotton Body  Elastic Waistband,130 GSM,,,Relaxed Fit,80,12.5,UNDERWEAR,42600,
3,1203,Wo's Rib Socks (2 Pairs),80% Mercerized Cotton  18% Polyester  2% Spandex,,,,Regular Length,70,9.95,SOCKS,42500,
3,1204,Ankle Socks (2 Pairs),90% Cotton  7% Nylon  3% Elastane,,,,Ankle Length,84,6.5,SOCKS,42500,
3,1205,Marle Socks (2 Pairs),82% Cotton  15% Nylon  3% Elastane,,,,Regular Length,80,6.95,SOCKS,42500,
3,1206,Invisible Socks (2 Pairs),75% Cotton  22% Polyester  3% Spandex,,,,Very Low-Cut,128,5.25,SOCKS,42500,
3,1208,Relax Socks (2 Pairs),90% Cotton  7% Nylon  3% Elastane,,,,Regular Length,70,8.95,SOCKS,42500,
3,1209,Speckle Socks (2 Pairs),37% Wool  36% Nylon  9% Cotton  2% Elastane  16% Acrylic,,,,Regular Length,70,11.5,SOCKS,42500,
3,1210,Relax Stripe Socks (2 Pairs),90% Cotton  7% Nylon  3% Elastane,,,,Regular Length,70,9.25,SOCKS,42500,
3,1211,Trunks,95% Cotton  5% Elastane  Elastic Waistband,190 GSM,,,Form Fitting,80,8.5,UNDERWEAR,42600,
3,1212,Briefs,95% Cotton  5% Elastane,190 GSM,,,Form Fitting,120,5.25,UNDERWEAR,42600,
3,1213,Business Socks (2 Pairs),80% Cotton  17% Nylon  3% Elastane,,,,Regular Length,80,9.95,SOCKS,42500,
3,1214,Knit Socks (2 Pairs),40% Merino  41% Nylon  16% Acrylic  3% Elastane,,,,Regular Length,70,16.75,SOCKS,42500,
3,1215,Boxer Check Shorts,100% Woven Cotton Body  Elastic Waistband,120 GSM,,,Regular-Relaxed Fit,80,12.5,UNDERWEAR,42600,
